account_id,account_name,account_type,tier,onboarding_date,account_manager,commission_rate,fulfillment_reliability,region
ACC-0045,Seller Co. 0045,Seller,Silver,2024-07-10,Babak Sadeghi,0.15,0.925,East
ACC-0046,Seller Co. 0046,Seller,Bronze,2021-05-18,Arman Hosseini,0.18,0.85,East
ACC-0047,Seller Co. 0047,Seller,Gold,2023-10-16,Leila Moradi,0.12,0.999,East
ACC-0048,Seller Co. 0048,Seller,Bronze,2022-12-09,Arman Hosseini,0.18,0.862,East
ACC-0049,Seller Co. 0049,Seller,Silver,2023-12-27,Niloofar Karimi,0.15,0.951,South
ACC-0050,Seller Co. 0050,Seller,Bronze,2022-03-01,Arman Hosseini,0.18,0.875,West
ACC-0051,Seller Co. 0051,Seller,Silver,2021-04-04,Arman Hosseini,0.15,0.946,North
ACC-0052,Seller Co. 0052,Seller,Platinum,2024-03-29,Babak Sadeghi,0.09,0.981,South
ACC-0053,Seller Co. 0053,Seller,Silver,2022-12-16,Arman Hosseini,0.15,0.951,South
ACC-0054,Seller Co. 0054,Seller,Bronze,2021-08-13,Kian Rostami,0.18,0.885,South
ACC-0055,Seller Co. 0055,Seller,Silver,2022-01-11,Niloofar Karimi,0.15,0.918,Central
ACC-0056,Seller Co. 0056,Seller,Bronze,2021-02-26,Sara Ahmadi,0.18,0.898,North
ACC-0057,Seller Co. 0057,Seller,Gold,2023-03-02,Kian Rostami,0.12,0.958,East
ACC-0058,Seller Co. 0058,Seller,Bronze,2023-12-16,Babak Sadeghi,0.18,0.874,North
ACC-0059,Seller Co. 0059,Seller,Bronze,2023-01-12,Babak Sadeghi,0.18,0.918,North
ACC-0060,Seller Co. 0060,Seller,Bronze,2024-09-04,Babak Sadeghi,0.18,0.848,Central
ACC-0061,Seller Co. 0061,Seller,Bronze,2023-07-07,Arman Hosseini,0.18,0.871,North
ACC-0062,Seller Co. 0062,Seller,Gold,2022-08-15,Kian Rostami,0.12,0.969,Central
ACC-0063,Seller Co. 0063,Seller,Silver,2024-01-01,Sara Ahmadi,0.15,0.917,East
ACC-0064,Seller Co. 0064,Seller,Silver,2024-04-07,Leila Moradi,0.15,0.87,East
ACC-0065,Seller Co. 0065,Seller,Bronze,2021-11-27,Sara Ahmadi,0.18,0.898,North
ACC-0066,Seller Co. 0066,Seller,Bronze,2023-09-11,Babak Sadeghi,0.18,0.842,West
ACC-0067,Seller Co. 0067,Seller,Bronze,2023-07-09,Kian Rostami,0.18,0.911,South
ACC-0068,Seller Co. 0068,Seller,Silver,2023-12-13,Babak Sadeghi,0.15,0.848,North
ACC-0069,Seller Co. 0069,Seller,Silver,2023-05-21,Sara Ahmadi,0.15,0.943,West
ACC-0070,Seller Co. 0070,Seller,Silver,2023-03-19,Niloofar Karimi,0.15,0.888,West
ACC-0071,Seller Co. 0071,Seller,Bronze,2022-08-07,Babak Sadeghi,0.18,0.863,East
ACC-0072,Seller Co. 0072,Seller,Bronze,2022-11-25,Sara Ahmadi,0.18,0.936,East
ACC-0073,Seller Co. 0073,Seller,Bronze,2024-02-03,Arman Hosseini,0.18,0.912,Central
ACC-0074,Seller Co. 0074,Seller,Bronze,2023-05-13,Kian Rostami,0.18,0.851,West
ACC-0075,Seller Co. 0075,Seller,Silver,2024-09-14,Arman Hosseini,0.15,0.952,West
ACC-0076,Seller Co. 0076,Seller,Gold,2023-12-27,Kian Rostami,0.12,0.959,Central
ACC-0077,Seller Co. 0077,Seller,Gold,2024-09-26,Niloofar Karimi,0.12,0.949,Central
ACC-0078,Seller Co. 0078,Seller,Bronze,2024-07-24,Niloofar Karimi,0.18,0.884,West
ACC-0079,Seller Co. 0079,Seller,Gold,2022-08-08,Arman Hosseini,0.12,0.949,East
ACC-0080,Seller Co. 0080,Seller,Bronze,2024-05-03,Babak Sadeghi,0.18,0.827,Central
ACC-0081,Seller Co. 0081,Seller,Bronze,2024-06-05,Niloofar Karimi,0.18,0.923,West
ACC-0082,Seller Co. 0082,Seller,Silver,2023-10-01,Kian Rostami,0.15,0.939,North
ACC-0083,Seller Co. 0083,Seller,Bronze,2024-03-21,Sara Ahmadi,0.18,0.899,East
ACC-0084,Seller Co. 0084,Seller,Gold,2024-06-27,Niloofar Karimi,0.12,0.968,Central
ACC-0085,Seller Co. 0085,Seller,Silver,2023-12-08,Sara Ahmadi,0.15,0.999,South
ACC-0086,Seller Co. 0086,Seller,Silver,2021-02-06,Sara Ahmadi,0.15,0.889,Central
ACC-0087,Seller Co. 0087,Seller,Silver,2021-11-27,Leila Moradi,0.15,0.966,East
ACC-0088,Seller Co. 0088,Seller,Gold,2021-01-15,Niloofar Karimi,0.12,0.973,South
ACC-0089,Seller Co. 0089,Seller,Gold,2023-12-12,Leila Moradi,0.12,0.945,South
ACC-0090,Seller Co. 0090,Seller,Bronze,2021-12-15,Niloofar Karimi,0.18,0.914,North
ACC-0091,Seller Co. 0091,Seller,Platinum,2024-06-05,Sara Ahmadi,0.09,0.999,East
ACC-0092,Seller Co. 0092,Seller,Bronze,2021-01-10,Kian Rostami,0.18,0.872,South
ACC-0093,Seller Co. 0093,Seller,Bronze,2023-07-13,Arman Hosseini,0.18,0.819,North
ACC-0094,Seller Co. 0094,Seller,Gold,2023-02-06,Arman Hosseini,0.12,0.949,Central
ACC-0095,Seller Co. 0095,Seller,Gold,2023-05-02,Babak Sadeghi,0.12,0.994,East
ACC-0096,Seller Co. 0096,Seller,Gold,2021-09-28,Sara Ahmadi,0.12,0.908,Central
ACC-0097,Seller Co. 0097,Seller,Silver,2024-02-23,Leila Moradi,0.15,0.888,West
ACC-0098,Seller Co. 0098,Seller,Bronze,2024-04-15,Kian Rostami,0.18,0.868,West
ACC-0099,Seller Co. 0099,Seller,Bronze,2024-09-21,Kian Rostami,0.18,0.937,Central
ACC-0100,Seller Co. 0100,Seller,Gold,2021-05-12,Sara Ahmadi,0.12,0.982,Central
ACC-0101,Seller Co. 0101,Seller,Platinum,2023-08-11,Niloofar Karimi,0.09,0.988,East
ACC-0102,Seller Co. 0102,Seller,Bronze,2023-11-25,Niloofar Karimi,0.18,0.882,Central
ACC-0103,Seller Co. 0103,Seller,Silver,2023-11-28,Leila Moradi,0.15,0.91,North
ACC-0104,Seller Co. 0104,Seller,Bronze,2021-03-24,Arman Hosseini,0.18,0.862,West
ACC-0105,Seller Co. 0105,Seller,Silver,2021-06-24,Leila Moradi,0.15,0.912,South
ACC-0106,Seller Co. 0106,Seller,Bronze,2024-07-08,Arman Hosseini,0.18,0.91,West
ACC-0107,Seller Co. 0107,Seller,Bronze,2021-06-17,Leila Moradi,0.18,0.84,West
ACC-0108,Seller Co. 0108,Seller,Bronze,2022-05-14,Leila Moradi,0.18,0.833,North
ACC-0109,Seller Co. 0109,Seller,Silver,2022-09-22,Sara Ahmadi,0.15,0.968,North
ACC-0110,Seller Co. 0110,Seller,Silver,2022-01-17,Sara Ahmadi,0.15,0.882,West
ACC-0111,Seller Co. 0111,Seller,Silver,2023-08-26,Sara Ahmadi,0.15,0.937,Central
ACC-0112,Seller Co. 0112,Seller,Bronze,2022-03-16,Babak Sadeghi,0.18,0.883,West
ACC-0113,Seller Co. 0113,Seller,Silver,2024-04-15,Leila Moradi,0.15,0.879,South
ACC-0114,Seller Co. 0114,Seller,Bronze,2023-08-24,Kian Rostami,0.18,0.894,Central
ACC-0115,Seller Co. 0115,Seller,Silver,2022-01-17,Niloofar Karimi,0.15,0.914,East
ACC-0116,Seller Co. 0116,Seller,Bronze,2024-03-31,Niloofar Karimi,0.18,0.862,East
ACC-0117,Seller Co. 0117,Seller,Silver,2023-02-26,Niloofar Karimi,0.15,0.943,Central
ACC-0118,Seller Co. 0118,Seller,Silver,2023-07-06,Niloofar Karimi,0.15,0.891,North
ACC-0119,Seller Co. 0119,Seller,Bronze,2022-02-20,Niloofar Karimi,0.18,0.864,East
ACC-0120,Seller Co. 0120,Seller,Silver,2021-07-12,Babak Sadeghi,0.15,0.92,Central
ACC-0121,Seller Co. 0121,Seller,Silver,2022-10-26,Niloofar Karimi,0.15,0.897,East
ACC-0122,Seller Co. 0122,Seller,Platinum,2022-05-27,Niloofar Karimi,0.09,0.984,South
ACC-0123,Seller Co. 0123,Seller,Bronze,2021-01-09,Kian Rostami,0.18,0.879,West
ACC-0124,Seller Co. 0124,Seller,Bronze,2022-10-29,Leila Moradi,0.18,0.943,East
ACC-0125,Seller Co. 0125,Seller,Gold,2021-09-06,Kian Rostami,0.12,0.999,South
ACC-0126,Seller Co. 0126,Seller,Gold,2022-01-09,Niloofar Karimi,0.12,0.999,North
ACC-0127,Seller Co. 0127,Seller,Silver,2021-03-18,Leila Moradi,0.15,0.937,North
ACC-0128,Seller Co. 0128,Seller,Bronze,2024-07-03,Arman Hosseini,0.18,0.877,Central
ACC-0129,Seller Co. 0129,Seller,Silver,2023-03-05,Leila Moradi,0.15,0.901,East
ACC-0130,Seller Co. 0130,Seller,Silver,2023-08-27,Kian Rostami,0.15,0.888,East
ACC-0131,Seller Co. 0131,Seller,Silver,2021-09-11,Babak Sadeghi,0.15,0.905,West
ACC-0132,Seller Co. 0132,Seller,Silver,2023-08-19,Babak Sadeghi,0.15,0.957,South
ACC-0133,Seller Co. 0133,Seller,Gold,2023-01-26,Niloofar Karimi,0.12,0.935,South
ACC-0134,Seller Co. 0134,Seller,Bronze,2021-12-06,Leila Moradi,0.18,0.868,South
ACC-0135,Seller Co. 0135,Seller,Silver,2022-10-31,Leila Moradi,0.15,0.898,East
ACC-0136,Seller Co. 0136,Seller,Gold,2022-12-28,Babak Sadeghi,0.12,0.943,Central
ACC-0137,Seller Co. 0137,Seller,Bronze,2023-10-22,Leila Moradi,0.18,0.82,North
ACC-0138,Seller Co. 0138,Seller,Bronze,2021-11-15,Leila Moradi,0.18,0.908,South
ACC-0139,Seller Co. 0139,Seller,Silver,2024-04-27,Leila Moradi,0.15,0.918,North
ACC-0140,Seller Co. 0140,Seller,Bronze,2022-03-18,Arman Hosseini,0.18,0.91,North
ACC-0141,Seller Co. 0141,Seller,Gold,2023-06-19,Arman Hosseini,0.12,0.999,South
ACC-0142,Seller Co. 0142,Seller,Silver,2023-11-30,Babak Sadeghi,0.15,0.894,West
ACC-0143,Seller Co. 0143,Seller,Silver,2023-12-14,Kian Rostami,0.15,0.883,North
ACC-0144,Seller Co. 0144,Seller,Gold,2021-12-08,Babak Sadeghi,0.12,0.97,East
ACC-0145,Seller Co. 0145,Seller,Bronze,2022-04-28,Babak Sadeghi,0.18,0.893,North
ACC-0146,Seller Co. 0146,Seller,Bronze,2023-07-24,Leila Moradi,0.18,0.919,Central
ACC-0147,Seller Co. 0147,Seller,Bronze,2022-03-07,Arman Hosseini,0.18,0.905,Central
ACC-0148,Seller Co. 0148,Seller,Silver,2021-11-27,Sara Ahmadi,0.15,0.896,South
ACC-0149,Seller Co. 0149,Seller,Bronze,2024-04-05,Babak Sadeghi,0.18,0.869,Central
ACC-0150,Seller Co. 0150,Seller,Bronze,2023-12-22,Babak Sadeghi,0.18,0.917,South
ACC-0151,Seller Co. 0151,Seller,Bronze,2021-09-06,Kian Rostami,0.18,0.906,Central
ACC-0152,Seller Co. 0152,Seller,Bronze,2021-08-08,Kian Rostami,0.18,0.926,West
ACC-0153,Seller Co. 0153,Seller,Gold,2022-06-27,Kian Rostami,0.12,0.972,Central
ACC-0154,Seller Co. 0154,Seller,Bronze,2024-04-24,Sara Ahmadi,0.18,0.885,South
ACC-0155,Seller Co. 0155,Seller,Silver,2022-03-28,Sara Ahmadi,0.15,0.868,West
ACC-0156,Seller Co. 0156,Seller,Bronze,2021-03-13,Sara Ahmadi,0.18,0.89,East
ACC-0157,Seller Co. 0157,Seller,Platinum,2023-05-18,Leila Moradi,0.09,0.954,East
ACC-0158,Seller Co. 0158,Seller,Gold,2021-10-20,Leila Moradi,0.12,0.966,Central
ACC-0159,Seller Co. 0159,Seller,Bronze,2022-08-15,Leila Moradi,0.18,0.856,East
ACC-0160,Seller Co. 0160,Seller,Platinum,2023-06-19,Kian Rostami,0.09,0.999,North
ACC-0161,Seller Co. 0161,Seller,Bronze,2022-04-20,Kian Rostami,0.18,0.894,West
ACC-0162,Seller Co. 0162,Seller,Silver,2022-05-07,Kian Rostami,0.15,0.911,West
ACC-0163,Seller Co. 0163,Seller,Bronze,2022-07-18,Leila Moradi,0.18,0.934,North
ACC-0164,Seller Co. 0164,Seller,Bronze,2021-08-12,Niloofar Karimi,0.18,0.87,Central
ACC-0165,Seller Co. 0165,Seller,Bronze,2021-08-20,Niloofar Karimi,0.18,0.89,West
ACC-0166,Seller Co. 0166,Seller,Bronze,2021-07-25,Kian Rostami,0.18,0.887,Central
ACC-0167,Seller Co. 0167,Seller,Bronze,2024-05-31,Sara Ahmadi,0.18,0.962,North
ACC-0168,Seller Co. 0168,Seller,Bronze,2022-12-17,Sara Ahmadi,0.18,0.85,North
ACC-0169,Seller Co. 0169,Seller,Bronze,2022-06-25,Sara Ahmadi,0.18,0.876,North
ACC-0170,Seller Co. 0170,Seller,Bronze,2022-02-26,Leila Moradi,0.18,0.92,South
ACC-0171,Seller Co. 0171,Seller,Gold,2023-03-24,Leila Moradi,0.12,0.957,East
ACC-0172,Seller Co. 0172,Seller,Bronze,2024-05-21,Niloofar Karimi,0.18,0.897,West
ACC-0173,Seller Co. 0173,Seller,Gold,2024-02-18,Babak Sadeghi,0.12,0.946,East
ACC-0174,Seller Co. 0174,Seller,Silver,2023-10-20,Niloofar Karimi,0.15,0.917,West
ACC-0175,Seller Co. 0175,Seller,Silver,2024-08-15,Sara Ahmadi,0.15,0.943,East
ACC-0176,Seller Co. 0176,Seller,Bronze,2022-11-02,Babak Sadeghi,0.18,0.867,South
ACC-0177,Seller Co. 0177,Seller,Gold,2024-07-11,Leila Moradi,0.12,0.939,Central
ACC-0178,Seller Co. 0178,Seller,Bronze,2023-06-12,Kian Rostami,0.18,0.853,North
ACC-0179,Seller Co. 0179,Seller,Gold,2023-10-08,Kian Rostami,0.12,0.971,West
ACC-0180,Seller Co. 0180,Seller,Bronze,2021-11-03,Leila Moradi,0.18,0.856,North
ACC-0181,Seller Co. 0181,Seller,Bronze,2022-07-01,Kian Rostami,0.18,0.914,South
ACC-0182,Seller Co. 0182,Seller,Bronze,2022-08-14,Babak Sadeghi,0.18,0.85,West
ACC-0183,Seller Co. 0183,Seller,Bronze,2021-03-24,Kian Rostami,0.18,0.932,East
ACC-0184,Seller Co. 0184,Seller,Bronze,2024-01-11,Kian Rostami,0.18,0.882,North
ACC-0185,Seller Co. 0185,Seller,Bronze,2022-03-04,Niloofar Karimi,0.18,0.901,East
ACC-0186,Seller Co. 0186,Seller,Silver,2024-05-20,Leila Moradi,0.15,0.916,North
ACC-0187,Seller Co. 0187,Seller,Platinum,2021-08-30,Arman Hosseini,0.09,0.996,Central
ACC-0188,Seller Co. 0188,Seller,Bronze,2021-07-23,Niloofar Karimi,0.18,0.921,North
ACC-0189,Seller Co. 0189,Seller,Silver,2023-07-06,Niloofar Karimi,0.15,0.913,North
ACC-0190,Seller Co. 0190,Seller,Gold,2022-03-15,Babak Sadeghi,0.12,0.991,West
ACC-0191,Seller Co. 0191,Seller,Silver,2023-07-29,Leila Moradi,0.15,0.926,North
ACC-0192,Seller Co. 0192,Seller,Bronze,2023-11-26,Niloofar Karimi,0.18,0.863,South
ACC-0193,Seller Co. 0193,Seller,Bronze,2021-11-01,Arman Hosseini,0.18,0.892,West
ACC-0194,Seller Co. 0194,Seller,Gold,2022-01-28,Arman Hosseini,0.12,0.957,North
ACC-0195,Seller Co. 0195,Seller,Silver,2021-02-03,Arman Hosseini,0.15,0.882,East
ACC-0196,Seller Co. 0196,Seller,Silver,2022-04-09,Leila Moradi,0.15,0.906,North
ACC-0197,Seller Co. 0197,Seller,Bronze,2022-09-08,Babak Sadeghi,0.18,0.922,East
ACC-0198,Seller Co. 0198,Seller,Gold,2021-05-14,Arman Hosseini,0.12,0.978,North
ACC-0199,Seller Co. 0199,Seller,Silver,2024-02-02,Sara Ahmadi,0.15,0.91,East
ACC-0200,Seller Co. 0200,Seller,Gold,2024-02-19,Niloofar Karimi,0.12,0.918,South
ACC-0201,Seller Co. 0201,Seller,Bronze,2021-05-01,Sara Ahmadi,0.18,0.943,North
ACC-0202,Seller Co. 0202,Seller,Bronze,2021-06-01,Kian Rostami,0.18,0.884,South
ACC-0203,Seller Co. 0203,Seller,Bronze,2022-09-06,Sara Ahmadi,0.18,0.898,Central
ACC-0204,Seller Co. 0204,Seller,Silver,2023-07-13,Sara Ahmadi,0.15,0.949,South
ACC-0205,Seller Co. 0205,Seller,Bronze,2022-04-21,Leila Moradi,0.18,0.863,South
ACC-0206,Seller Co. 0206,Seller,Bronze,2021-05-07,Babak Sadeghi,0.18,0.857,Central
ACC-0207,Seller Co. 0207,Seller,Silver,2022-07-22,Niloofar Karimi,0.15,0.967,West
ACC-0208,Seller Co. 0208,Seller,Bronze,2021-12-28,Niloofar Karimi,0.18,0.837,Central
ACC-0209,Seller Co. 0209,Seller,Bronze,2023-12-01,Kian Rostami,0.18,0.891,North
ACC-0210,Seller Co. 0210,Seller,Bronze,2024-06-21,Kian Rostami,0.18,0.863,West
ACC-0211,Seller Co. 0211,Seller,Silver,2024-02-16,Babak Sadeghi,0.15,0.956,South
ACC-0212,Seller Co. 0212,Seller,Silver,2021-06-14,Kian Rostami,0.15,0.914,West
ACC-0213,Seller Co. 0213,Seller,Bronze,2023-01-11,Leila Moradi,0.18,0.906,West
ACC-0214,Seller Co. 0214,Seller,Silver,2023-12-10,Arman Hosseini,0.15,0.865,West
ACC-0215,Seller Co. 0215,Seller,Platinum,2021-11-29,Arman Hosseini,0.09,0.945,South
ACC-0216,Seller Co. 0216,Seller,Silver,2021-10-25,Arman Hosseini,0.15,0.953,South
ACC-0217,Seller Co. 0217,Seller,Bronze,2024-06-26,Kian Rostami,0.18,0.885,South
ACC-0218,Seller Co. 0218,Seller,Gold,2024-01-31,Arman Hosseini,0.12,0.99,Central
ACC-0219,Seller Co. 0219,Seller,Gold,2021-01-07,Kian Rostami,0.12,0.931,South
ACC-0220,Seller Co. 0220,Seller,Silver,2022-04-02,Kian Rostami,0.15,0.932,East
ACC-0221,Seller Co. 0221,Seller,Bronze,2021-05-18,Leila Moradi,0.18,0.823,East
ACC-0222,Seller Co. 0222,Seller,Silver,2023-01-09,Niloofar Karimi,0.15,0.974,Central
ACC-0223,Seller Co. 0223,Seller,Bronze,2021-02-08,Arman Hosseini,0.18,0.873,West
ACC-0224,Seller Co. 0224,Seller,Gold,2024-01-19,Sara Ahmadi,0.12,0.994,North
ACC-0225,Seller Co. 0225,Seller,Bronze,2022-10-25,Babak Sadeghi,0.18,0.892,North
ACC-0226,Seller Co. 0226,Seller,Gold,2021-05-03,Niloofar Karimi,0.12,0.966,South
ACC-0227,Seller Co. 0227,Seller,Bronze,2024-09-10,Arman Hosseini,0.18,0.883,East
ACC-0228,Seller Co. 0228,Seller,Bronze,2022-06-04,Arman Hosseini,0.18,0.909,Central
ACC-0229,Seller Co. 0229,Seller,Gold,2024-02-14,Leila Moradi,0.12,0.965,South
ACC-0230,Seller Co. 0230,Seller,Gold,2024-05-22,Babak Sadeghi,0.12,0.926,North
ACC-0231,Seller Co. 0231,Seller,Bronze,2022-07-15,Babak Sadeghi,0.18,0.903,West
ACC-0232,Seller Co. 0232,Seller,Bronze,2021-12-29,Sara Ahmadi,0.18,0.88,East
ACC-0233,Seller Co. 0233,Seller,Bronze,2024-07-27,Arman Hosseini,0.18,0.854,West
ACC-0234,Seller Co. 0234,Seller,Silver,2023-02-17,Arman Hosseini,0.15,0.917,West
ACC-0235,Seller Co. 0235,Seller,Gold,2021-09-19,Babak Sadeghi,0.12,0.964,East
ACC-0236,Seller Co. 0236,Seller,Bronze,2024-06-01,Kian Rostami,0.18,0.919,Central
ACC-0237,Seller Co. 0237,Seller,Bronze,2021-12-09,Niloofar Karimi,0.18,0.898,South
ACC-0238,Seller Co. 0238,Seller,Bronze,2023-08-23,Arman Hosseini,0.18,0.858,East
ACC-0239,Seller Co. 0239,Seller,Bronze,2021-03-27,Arman Hosseini,0.18,0.885,North
ACC-0240,Seller Co. 0240,Seller,Bronze,2024-06-09,Kian Rostami,0.18,0.83,South
ACC-0241,Seller Co. 0241,Seller,Silver,2024-01-27,Sara Ahmadi,0.15,0.926,East
ACC-0242,Seller Co. 0242,Seller,Bronze,2023-01-29,Sara Ahmadi,0.18,0.859,Central
ACC-0243,Seller Co. 0243,Seller,Silver,2023-02-16,Niloofar Karimi,0.15,0.918,Central
ACC-0244,Seller Co. 0244,Seller,Bronze,2023-07-08,Arman Hosseini,0.18,0.822,West
ACC-0245,Seller Co. 0245,Seller,Silver,2022-07-31,Niloofar Karimi,0.15,0.968,West
ACC-0246,Seller Co. 0246,Seller,Silver,2021-03-30,Babak Sadeghi,0.15,0.899,West
ACC-0247,Seller Co. 0247,Seller,Bronze,2021-10-26,Sara Ahmadi,0.18,0.844,South
ACC-0248,Seller Co. 0248,Seller,Bronze,2024-07-15,Babak Sadeghi,0.18,0.925,East
ACC-0249,Seller Co. 0249,Seller,Gold,2023-06-06,Babak Sadeghi,0.12,0.998,Central
ACC-0250,Seller Co. 0250,Seller,Gold,2022-07-30,Kian Rostami,0.12,0.999,West
ACC-0251,Seller Co. 0251,Seller,Silver,2021-02-27,Babak Sadeghi,0.15,0.965,South
ACC-0252,Seller Co. 0252,Seller,Bronze,2023-01-03,Babak Sadeghi,0.18,0.88,Central
ACC-0253,Seller Co. 0253,Seller,Silver,2024-04-23,Arman Hosseini,0.15,0.909,South
ACC-0254,Seller Co. 0254,Seller,Silver,2022-12-30,Arman Hosseini,0.15,0.963,South
ACC-0255,Seller Co. 0255,Seller,Platinum,2021-03-23,Babak Sadeghi,0.09,0.999,East
ACC-0256,Seller Co. 0256,Seller,Bronze,2022-03-07,Sara Ahmadi,0.18,0.89,South
ACC-0257,Seller Co. 0257,Seller,Bronze,2021-02-23,Niloofar Karimi,0.18,0.843,Central
ACC-0258,Seller Co. 0258,Seller,Gold,2024-08-04,Arman Hosseini,0.12,0.909,West
ACC-0259,Seller Co. 0259,Seller,Silver,2021-07-18,Leila Moradi,0.15,0.914,North
ACC-0260,Seller Co. 0260,Seller,Bronze,2023-06-19,Niloofar Karimi,0.18,0.851,North
