opportunity_id,lead_id,account_id,opportunity_type,created_date,close_date,stage,estimated_value_usd,loss_reason
OPP-00027,LEAD-00027,ACC-0027,New Seller Onboarding,2023-12-26,2024-02-04,Closed Won,59685.33,
OPP-00028,LEAD-00028,ACC-0028,New Seller Onboarding,2022-02-07,2022-02-19,Closed Won,44297.16,
OPP-00029,LEAD-00029,ACC-0029,New Seller Onboarding,2021-04-03,2021-05-04,Closed Won,13401.65,
OPP-00030,LEAD-00030,ACC-0030,New Seller Onboarding,2023-07-23,2023-07-29,Closed Won,17882.44,
OPP-00031,LEAD-00031,ACC-0031,New Seller Onboarding,2023-11-28,2024-01-02,Closed Won,159194.11,
OPP-00032,LEAD-00032,ACC-0032,New Seller Onboarding,2021-01-27,2021-03-31,Closed Won,14352.5,
OPP-00033,LEAD-00033,ACC-0033,New Seller Onboarding,2023-03-16,2023-04-14,Closed Won,57256.19,
OPP-00034,LEAD-00034,ACC-0034,New Seller Onboarding,2024-06-17,2024-07-03,Closed Won,60484.25,
OPP-00035,LEAD-00035,ACC-0035,New Seller Onboarding,2023-12-10,2023-12-14,Closed Won,52534.16,
OPP-00036,LEAD-00036,ACC-0036,New Seller Onboarding,2023-10-24,2023-11-02,Closed Won,13342.52,
OPP-00037,LEAD-00037,ACC-0037,New Seller Onboarding,2022-08-16,2022-09-04,Closed Won,15982.01,
OPP-00038,LEAD-00038,ACC-0038,New Seller Onboarding,2024-04-01,2024-04-14,Closed Won,17880.45,
OPP-00039,LEAD-00039,ACC-0039,New Seller Onboarding,2021-07-25,2021-09-09,Closed Won,54300.02,
OPP-00040,LEAD-00040,ACC-0040,New Seller Onboarding,2022-11-07,2022-12-16,Closed Won,15118.06,
OPP-00041,LEAD-00041,ACC-0041,New Seller Onboarding,2022-07-17,2022-08-19,Closed Won,17724.92,
OPP-00042,LEAD-00042,ACC-0042,New Seller Onboarding,2022-08-29,2022-09-30,Closed Won,15403.7,
OPP-00043,LEAD-00043,ACC-0043,New Seller Onboarding,2021-06-26,2021-07-28,Closed Won,187294.2,
OPP-00044,LEAD-00044,ACC-0044,New Seller Onboarding,2022-01-08,2022-02-27,Closed Won,65591.75,
OPP-00045,LEAD-00045,ACC-0045,New Seller Onboarding,2024-06-27,2024-07-10,Closed Won,54965.46,
OPP-00046,LEAD-00046,ACC-0046,New Seller Onboarding,2021-05-15,2021-05-18,Closed Won,17752.08,
OPP-00047,LEAD-00047,ACC-0047,New Seller Onboarding,2023-09-19,2023-10-16,Closed Won,160934.84,
OPP-00048,LEAD-00048,ACC-0048,New Seller Onboarding,2022-12-05,2022-12-09,Closed Won,17696.09,
OPP-00049,LEAD-00049,ACC-0049,New Seller Onboarding,2023-11-04,2023-12-27,Closed Won,55885.94,
OPP-00050,LEAD-00050,ACC-0050,New Seller Onboarding,2022-02-26,2022-03-01,Closed Won,16926.54,
OPP-00051,LEAD-00051,ACC-0051,New Seller Onboarding,2021-02-17,2021-04-04,Closed Won,65066.51,
OPP-00052,LEAD-00052,ACC-0052,New Seller Onboarding,2024-03-01,2024-03-29,Closed Won,520835.59,
OPP-00053,LEAD-00053,ACC-0053,New Seller Onboarding,2022-11-28,2022-12-16,Closed Won,65909.48,
OPP-00054,LEAD-00054,ACC-0054,New Seller Onboarding,2021-07-28,2021-08-13,Closed Won,16033.97,
OPP-00055,LEAD-00055,ACC-0055,New Seller Onboarding,2021-12-29,2022-01-11,Closed Won,45672.66,
OPP-00056,LEAD-00056,ACC-0056,New Seller Onboarding,2021-02-09,2021-02-26,Closed Won,13159.29,
OPP-00057,LEAD-00057,ACC-0057,New Seller Onboarding,2023-02-25,2023-03-02,Closed Won,170339.17,
OPP-00058,LEAD-00058,ACC-0058,New Seller Onboarding,2023-11-26,2023-12-16,Closed Won,17292.95,
OPP-00059,LEAD-00059,ACC-0059,New Seller Onboarding,2023-01-08,2023-01-12,Closed Won,13663.61,
OPP-00060,LEAD-00060,ACC-0060,New Seller Onboarding,2024-08-12,2024-09-04,Closed Won,13946.08,
OPP-00061,LEAD-00061,ACC-0061,New Seller Onboarding,2023-05-17,2023-07-07,Closed Won,13650.51,
OPP-00062,LEAD-00062,ACC-0062,New Seller Onboarding,2022-07-01,2022-08-15,Closed Won,214778.47,
OPP-00063,LEAD-00063,ACC-0063,New Seller Onboarding,2023-12-02,2024-01-01,Closed Won,58728.83,
OPP-00064,LEAD-00064,ACC-0064,New Seller Onboarding,2024-03-17,2024-04-07,Closed Won,46795.91,
OPP-00065,LEAD-00065,ACC-0065,New Seller Onboarding,2021-11-05,2021-11-27,Closed Won,12195.45,
OPP-00066,LEAD-00066,ACC-0066,New Seller Onboarding,2023-08-16,2023-09-11,Closed Won,13557.42,
OPP-00067,LEAD-00067,ACC-0067,New Seller Onboarding,2023-06-22,2023-07-09,Closed Won,14889.25,
OPP-00068,LEAD-00068,ACC-0068,New Seller Onboarding,2023-10-19,2023-12-13,Closed Won,63942.25,
OPP-00069,LEAD-00069,ACC-0069,New Seller Onboarding,2023-04-02,2023-05-21,Closed Won,55101.02,
OPP-00070,LEAD-00070,ACC-0070,New Seller Onboarding,2023-03-09,2023-03-19,Closed Won,48311.7,
OPP-00071,LEAD-00071,ACC-0071,New Seller Onboarding,2022-07-23,2022-08-07,Closed Won,17129.21,
OPP-00072,LEAD-00072,ACC-0072,New Seller Onboarding,2022-11-22,2022-11-25,Closed Won,16118.88,
OPP-00073,LEAD-00073,ACC-0073,New Seller Onboarding,2023-11-19,2024-02-03,Closed Won,15750.58,
OPP-00074,LEAD-00074,ACC-0074,New Seller Onboarding,2023-04-26,2023-05-13,Closed Won,14016.84,
OPP-00075,LEAD-00075,ACC-0075,New Seller Onboarding,2024-09-12,2024-09-14,Closed Won,48532.03,
OPP-00076,LEAD-00076,ACC-0076,New Seller Onboarding,2023-11-26,2023-12-27,Closed Won,167483.93,
OPP-00077,LEAD-00077,ACC-0077,New Seller Onboarding,2024-09-09,2024-09-26,Closed Won,206884.84,
OPP-00078,LEAD-00078,ACC-0078,New Seller Onboarding,2024-07-22,2024-07-24,Closed Won,13610.65,
OPP-00079,LEAD-00079,ACC-0079,New Seller Onboarding,2022-07-23,2022-08-08,Closed Won,193949.8,
OPP-00080,LEAD-00080,ACC-0080,New Seller Onboarding,2024-04-17,2024-05-03,Closed Won,15535.44,
OPP-00081,LEAD-00081,ACC-0081,New Seller Onboarding,2024-05-14,2024-06-05,Closed Won,15819.04,
OPP-00082,LEAD-00082,ACC-0082,New Seller Onboarding,2023-09-02,2023-10-01,Closed Won,46282.05,
OPP-00083,LEAD-00083,ACC-0083,New Seller Onboarding,2024-03-14,2024-03-21,Closed Won,17726.65,
OPP-00084,LEAD-00084,ACC-0084,New Seller Onboarding,2024-05-28,2024-06-27,Closed Won,149956.97,
OPP-00085,LEAD-00085,ACC-0085,New Seller Onboarding,2023-11-15,2023-12-08,Closed Won,65526.1,
OPP-00086,LEAD-00086,ACC-0086,New Seller Onboarding,2020-12-01,2021-02-06,Closed Won,65577.83,
OPP-00087,LEAD-00087,ACC-0087,New Seller Onboarding,2021-10-25,2021-11-27,Closed Won,64749.25,
OPP-00088,LEAD-00088,ACC-0088,New Seller Onboarding,2020-12-24,2021-01-15,Closed Won,169696.15,
OPP-00089,LEAD-00089,ACC-0089,New Seller Onboarding,2023-11-19,2023-12-12,Closed Won,211486.12,
OPP-00090,LEAD-00090,ACC-0090,New Seller Onboarding,2021-12-09,2021-12-15,Closed Won,16116.52,
OPP-00091,LEAD-00091,ACC-0091,New Seller Onboarding,2024-04-24,2024-06-05,Closed Won,624815.39,
OPP-00092,LEAD-00092,ACC-0092,New Seller Onboarding,2020-12-26,2021-01-10,Closed Won,15446.96,
OPP-00093,LEAD-00093,ACC-0093,New Seller Onboarding,2023-07-12,2023-07-13,Closed Won,13135.99,
OPP-00094,LEAD-00094,ACC-0094,New Seller Onboarding,2022-11-27,2023-02-06,Closed Won,160655.07,
OPP-00095,LEAD-00095,ACC-0095,New Seller Onboarding,2023-04-27,2023-05-02,Closed Won,147561.39,
OPP-00096,LEAD-00096,ACC-0096,New Seller Onboarding,2021-09-26,2021-09-28,Closed Won,163810.79,
OPP-00097,LEAD-00097,ACC-0097,New Seller Onboarding,2024-01-20,2024-02-23,Closed Won,44014.49,
OPP-00098,LEAD-00098,ACC-0098,New Seller Onboarding,2024-04-04,2024-04-15,Closed Won,12266.31,
OPP-00099,LEAD-00099,ACC-0099,New Seller Onboarding,2024-09-19,2024-09-21,Closed Won,15850.99,
OPP-00100,LEAD-00100,ACC-0100,New Seller Onboarding,2021-04-16,2021-05-12,Closed Won,176648.17,
OPP-00101,LEAD-00101,ACC-0101,New Seller Onboarding,2023-06-23,2023-08-11,Closed Won,577417.05,
OPP-00102,LEAD-00102,ACC-0102,New Seller Onboarding,2023-11-20,2023-11-25,Closed Won,13996.24,
OPP-00103,LEAD-00103,ACC-0103,New Seller Onboarding,2023-11-11,2023-11-28,Closed Won,65122.53,
OPP-00104,LEAD-00104,ACC-0104,New Seller Onboarding,2021-02-20,2021-03-24,Closed Won,13447.84,
OPP-00105,LEAD-00105,ACC-0105,New Seller Onboarding,2021-05-20,2021-06-24,Closed Won,57103.82,
OPP-00106,LEAD-00106,ACC-0106,New Seller Onboarding,2024-06-26,2024-07-08,Closed Won,17206.45,
OPP-00107,LEAD-00107,ACC-0107,New Seller Onboarding,2021-05-31,2021-06-17,Closed Won,16520.75,
OPP-00108,LEAD-00108,ACC-0108,New Seller Onboarding,2022-03-16,2022-05-14,Closed Won,12737.05,
OPP-00109,LEAD-00109,ACC-0109,New Seller Onboarding,2022-09-19,2022-09-22,Closed Won,47109.26,
OPP-00110,LEAD-00110,ACC-0110,New Seller Onboarding,2022-01-10,2022-01-17,Closed Won,47801.36,
OPP-00111,LEAD-00111,ACC-0111,New Seller Onboarding,2023-08-13,2023-08-26,Closed Won,48249.85,
OPP-00112,LEAD-00112,ACC-0112,New Seller Onboarding,2022-02-15,2022-03-16,Closed Won,15068.12,
OPP-00113,LEAD-00113,ACC-0113,New Seller Onboarding,2024-03-25,2024-04-15,Closed Won,65508.25,
OPP-00114,LEAD-00114,ACC-0114,New Seller Onboarding,2023-07-25,2023-08-24,Closed Won,17557.09,
OPP-00115,LEAD-00115,ACC-0115,New Seller Onboarding,2022-01-12,2022-01-17,Closed Won,56606.66,
OPP-00116,LEAD-00116,ACC-0116,New Seller Onboarding,2024-02-26,2024-03-31,Closed Won,16596.49,
OPP-00117,LEAD-00117,ACC-0117,New Seller Onboarding,2023-02-19,2023-02-26,Closed Won,48098.33,
OPP-00118,LEAD-00118,ACC-0118,New Seller Onboarding,2023-06-18,2023-07-06,Closed Won,45284.93,
OPP-00119,LEAD-00119,ACC-0119,New Seller Onboarding,2022-02-18,2022-02-20,Closed Won,16101.89,
OPP-00120,LEAD-00120,ACC-0120,New Seller Onboarding,2021-05-03,2021-07-12,Closed Won,48058.28,
OPP-00121,LEAD-00121,ACC-0121,New Seller Onboarding,2022-08-17,2022-10-26,Closed Won,45548.53,
OPP-00122,LEAD-00122,ACC-0122,New Seller Onboarding,2022-05-20,2022-05-27,Closed Won,684831.23,
OPP-00123,LEAD-00123,ACC-0123,New Seller Onboarding,2021-01-05,2021-01-09,Closed Won,15401.27,
OPP-00124,LEAD-00124,ACC-0124,New Seller Onboarding,2022-10-17,2022-10-29,Closed Won,14142.13,
OPP-00125,LEAD-00125,ACC-0125,New Seller Onboarding,2021-08-12,2021-09-06,Closed Won,170555.87,
OPP-00126,LEAD-00126,ACC-0126,New Seller Onboarding,2021-12-14,2022-01-09,Closed Won,202463.91,
OPP-00127,LEAD-00127,ACC-0127,New Seller Onboarding,2021-02-19,2021-03-18,Closed Won,51949.86,
OPP-00128,LEAD-00128,ACC-0128,New Seller Onboarding,2024-06-28,2024-07-03,Closed Won,16367.92,
OPP-00129,LEAD-00129,ACC-0129,New Seller Onboarding,2023-02-28,2023-03-05,Closed Won,64475.46,
OPP-00130,LEAD-00130,ACC-0130,New Seller Onboarding,2023-06-24,2023-08-27,Closed Won,44184.3,
OPP-00131,LEAD-00131,ACC-0131,New Seller Onboarding,2021-08-20,2021-09-11,Closed Won,58463.78,
OPP-00132,LEAD-00132,ACC-0132,New Seller Onboarding,2023-07-26,2023-08-19,Closed Won,47400.49,
OPP-00133,LEAD-00133,ACC-0133,New Seller Onboarding,2023-01-21,2023-01-26,Closed Won,144892.84,
OPP-00134,LEAD-00134,ACC-0134,New Seller Onboarding,2021-11-26,2021-12-06,Closed Won,14998.95,
OPP-00135,LEAD-00135,ACC-0135,New Seller Onboarding,2022-09-18,2022-10-31,Closed Won,50342.17,
OPP-00136,LEAD-00136,ACC-0136,New Seller Onboarding,2022-11-30,2022-12-28,Closed Won,194632.12,
OPP-00137,LEAD-00137,ACC-0137,New Seller Onboarding,2023-08-22,2023-10-22,Closed Won,13386.7,
OPP-00138,LEAD-00138,ACC-0138,New Seller Onboarding,2021-11-13,2021-11-15,Closed Won,15957.79,
OPP-00139,LEAD-00139,ACC-0139,New Seller Onboarding,2024-04-14,2024-04-27,Closed Won,52320.88,
OPP-00140,LEAD-00140,ACC-0140,New Seller Onboarding,2022-03-15,2022-03-18,Closed Won,14750.95,
OPP-00141,LEAD-00141,ACC-0141,New Seller Onboarding,2023-06-03,2023-06-19,Closed Won,155765.9,
OPP-00142,LEAD-00142,ACC-0142,New Seller Onboarding,2023-10-31,2023-11-30,Closed Won,53071.03,
OPP-00143,LEAD-00143,ACC-0143,New Seller Onboarding,2023-11-19,2023-12-14,Closed Won,57273.52,
OPP-00144,LEAD-00144,ACC-0144,New Seller Onboarding,2021-11-30,2021-12-08,Closed Won,181428.86,
OPP-00145,LEAD-00145,ACC-0145,New Seller Onboarding,2022-04-11,2022-04-28,Closed Won,17148.7,
OPP-00146,LEAD-00146,ACC-0146,New Seller Onboarding,2023-07-03,2023-07-24,Closed Won,12684.2,
OPP-00147,LEAD-00147,ACC-0147,New Seller Onboarding,2022-02-28,2022-03-07,Closed Won,12654.77,
OPP-00148,LEAD-00148,ACC-0148,New Seller Onboarding,2021-10-05,2021-11-27,Closed Won,61790.66,
OPP-00149,LEAD-00149,ACC-0149,New Seller Onboarding,2024-03-27,2024-04-05,Closed Won,12043.07,
OPP-00150,LEAD-00150,ACC-0150,New Seller Onboarding,2023-11-18,2023-12-22,Closed Won,12703.53,
OPP-00151,LEAD-00151,ACC-0151,New Seller Onboarding,2021-08-23,2021-09-06,Closed Won,12567.87,
OPP-00152,LEAD-00152,ACC-0152,New Seller Onboarding,2021-07-22,2021-08-08,Closed Won,12506.7,
OPP-00153,LEAD-00153,ACC-0153,New Seller Onboarding,2022-06-21,2022-06-27,Closed Won,175956.08,
OPP-00154,LEAD-00154,ACC-0154,New Seller Onboarding,2024-04-07,2024-04-24,Closed Won,12332.87,
OPP-00155,LEAD-00155,ACC-0155,New Seller Onboarding,2022-03-21,2022-03-28,Closed Won,48150.07,
OPP-00156,LEAD-00156,ACC-0156,New Seller Onboarding,2021-02-10,2021-03-13,Closed Won,14574.0,
OPP-00157,LEAD-00157,ACC-0157,New Seller Onboarding,2023-03-12,2023-05-18,Closed Won,591851.1,
OPP-00158,LEAD-00158,ACC-0158,New Seller Onboarding,2021-09-06,2021-10-20,Closed Won,193237.2,
OPP-00159,LEAD-00159,ACC-0159,New Seller Onboarding,2022-06-17,2022-08-15,Closed Won,17960.72,
OPP-00160,LEAD-00160,ACC-0160,New Seller Onboarding,2023-05-27,2023-06-19,Closed Won,530357.57,
OPP-00161,LEAD-00161,ACC-0161,New Seller Onboarding,2022-03-24,2022-04-20,Closed Won,16600.41,
OPP-00162,LEAD-00162,ACC-0162,New Seller Onboarding,2022-05-04,2022-05-07,Closed Won,65087.62,
OPP-00163,LEAD-00163,ACC-0163,New Seller Onboarding,2022-06-02,2022-07-18,Closed Won,12246.06,
OPP-00164,LEAD-00164,ACC-0164,New Seller Onboarding,2021-07-20,2021-08-12,Closed Won,13287.24,
OPP-00165,LEAD-00165,ACC-0165,New Seller Onboarding,2021-08-08,2021-08-20,Closed Won,16180.92,
OPP-00166,LEAD-00166,ACC-0166,New Seller Onboarding,2021-06-10,2021-07-25,Closed Won,14666.49,
OPP-00167,LEAD-00167,ACC-0167,New Seller Onboarding,2024-05-21,2024-05-31,Closed Won,14092.3,
OPP-00168,LEAD-00168,ACC-0168,New Seller Onboarding,2022-12-09,2022-12-17,Closed Won,13581.48,
OPP-00169,LEAD-00169,ACC-0169,New Seller Onboarding,2022-06-15,2022-06-25,Closed Won,16750.41,
OPP-00170,LEAD-00170,ACC-0170,New Seller Onboarding,2022-02-06,2022-02-26,Closed Won,17068.83,
OPP-00171,LEAD-00171,ACC-0171,New Seller Onboarding,2023-02-26,2023-03-24,Closed Won,161782.15,
OPP-00172,LEAD-00172,ACC-0172,New Seller Onboarding,2024-04-09,2024-05-21,Closed Won,16719.45,
OPP-00173,LEAD-00173,ACC-0173,New Seller Onboarding,2024-01-31,2024-02-18,Closed Won,152329.37,
OPP-00174,LEAD-00174,ACC-0174,New Seller Onboarding,2023-09-12,2023-10-20,Closed Won,55624.69,
OPP-00175,LEAD-00175,ACC-0175,New Seller Onboarding,2024-08-14,2024-08-15,Closed Won,59851.97,
OPP-00176,LEAD-00176,ACC-0176,New Seller Onboarding,2022-10-28,2022-11-02,Closed Won,12187.0,
OPP-00177,LEAD-00177,ACC-0177,New Seller Onboarding,2024-05-30,2024-07-11,Closed Won,200305.23,
OPP-00178,LEAD-00178,ACC-0178,New Seller Onboarding,2023-05-03,2023-06-12,Closed Won,15184.42,
OPP-00179,LEAD-00179,ACC-0179,New Seller Onboarding,2023-09-17,2023-10-08,Closed Won,187204.7,
OPP-00180,LEAD-00180,ACC-0180,New Seller Onboarding,2021-09-29,2021-11-03,Closed Won,12490.56,
OPP-00181,LEAD-00181,ACC-0181,New Seller Onboarding,2022-06-18,2022-07-01,Closed Won,17429.12,
OPP-00182,LEAD-00182,ACC-0182,New Seller Onboarding,2022-08-12,2022-08-14,Closed Won,16720.41,
OPP-00183,LEAD-00183,ACC-0183,New Seller Onboarding,2021-02-28,2021-03-24,Closed Won,17381.32,
OPP-00184,LEAD-00184,ACC-0184,New Seller Onboarding,2024-01-03,2024-01-11,Closed Won,12961.94,
OPP-00185,LEAD-00185,ACC-0185,New Seller Onboarding,2022-02-25,2022-03-04,Closed Won,16798.26,
OPP-00186,LEAD-00186,ACC-0186,New Seller Onboarding,2024-05-14,2024-05-20,Closed Won,54757.61,
OPP-00187,LEAD-00187,ACC-0187,New Seller Onboarding,2021-08-05,2021-08-30,Closed Won,622807.02,
OPP-00188,LEAD-00188,ACC-0188,New Seller Onboarding,2021-07-04,2021-07-23,Closed Won,12244.7,
OPP-00189,LEAD-00189,ACC-0189,New Seller Onboarding,2023-05-19,2023-07-06,Closed Won,48506.51,
OPP-00190,LEAD-00190,ACC-0190,New Seller Onboarding,2022-02-07,2022-03-15,Closed Won,191346.34,
OPP-00191,LEAD-00191,ACC-0191,New Seller Onboarding,2023-07-19,2023-07-29,Closed Won,56038.94,
OPP-00192,LEAD-00192,ACC-0192,New Seller Onboarding,2023-09-27,2023-11-26,Closed Won,12440.26,
OPP-00193,LEAD-00193,ACC-0193,New Seller Onboarding,2021-10-16,2021-11-01,Closed Won,15252.26,
OPP-00194,LEAD-00194,ACC-0194,New Seller Onboarding,2022-01-21,2022-01-28,Closed Won,171071.33,
OPP-00195,LEAD-00195,ACC-0195,New Seller Onboarding,2021-02-01,2021-02-03,Closed Won,55958.3,
OPP-00196,LEAD-00196,ACC-0196,New Seller Onboarding,2022-02-09,2022-04-09,Closed Won,65117.34,
OPP-00197,LEAD-00197,ACC-0197,New Seller Onboarding,2022-09-06,2022-09-08,Closed Won,13533.94,
OPP-00198,LEAD-00198,ACC-0198,New Seller Onboarding,2021-04-24,2021-05-14,Closed Won,175557.74,
OPP-00199,LEAD-00199,ACC-0199,New Seller Onboarding,2024-01-15,2024-02-02,Closed Won,58066.14,
OPP-00200,LEAD-00200,ACC-0200,New Seller Onboarding,2024-02-11,2024-02-19,Closed Won,206479.09,
OPP-00201,LEAD-00201,ACC-0201,New Seller Onboarding,2021-03-24,2021-05-01,Closed Won,17793.71,
OPP-00202,LEAD-00202,ACC-0202,New Seller Onboarding,2021-03-30,2021-06-01,Closed Won,16319.17,
OPP-00203,LEAD-00203,ACC-0203,New Seller Onboarding,2022-08-18,2022-09-06,Closed Won,12006.44,
OPP-00204,LEAD-00204,ACC-0204,New Seller Onboarding,2023-06-29,2023-07-13,Closed Won,55017.28,
OPP-00205,LEAD-00205,ACC-0205,New Seller Onboarding,2022-04-20,2022-04-21,Closed Won,16859.86,
OPP-00206,LEAD-00206,ACC-0206,New Seller Onboarding,2021-04-19,2021-05-07,Closed Won,12963.8,
OPP-00207,LEAD-00207,ACC-0207,New Seller Onboarding,2022-07-05,2022-07-22,Closed Won,55270.62,
OPP-00208,LEAD-00208,ACC-0208,New Seller Onboarding,2021-12-14,2021-12-28,Closed Won,16254.02,
OPP-00209,LEAD-00209,ACC-0209,New Seller Onboarding,2023-10-28,2023-12-01,Closed Won,16727.64,
OPP-00210,LEAD-00210,ACC-0210,New Seller Onboarding,2024-05-28,2024-06-21,Closed Won,14094.75,
OPP-00211,LEAD-00211,ACC-0211,New Seller Onboarding,2024-02-07,2024-02-16,Closed Won,44707.91,
OPP-00212,LEAD-00212,ACC-0212,New Seller Onboarding,2021-05-19,2021-06-14,Closed Won,45840.53,
OPP-00213,LEAD-00213,ACC-0213,New Seller Onboarding,2022-12-26,2023-01-11,Closed Won,13563.7,
OPP-00214,LEAD-00214,ACC-0214,New Seller Onboarding,2023-11-26,2023-12-10,Closed Won,53521.38,
OPP-00215,LEAD-00215,ACC-0215,New Seller Onboarding,2021-09-10,2021-11-29,Closed Won,586960.83,
OPP-00216,LEAD-00216,ACC-0216,New Seller Onboarding,2021-10-11,2021-10-25,Closed Won,64680.57,
OPP-00217,LEAD-00217,ACC-0217,New Seller Onboarding,2024-06-21,2024-06-26,Closed Won,13499.92,
OPP-00218,LEAD-00218,ACC-0218,New Seller Onboarding,2024-01-12,2024-01-31,Closed Won,210310.96,
OPP-00219,LEAD-00219,ACC-0219,New Seller Onboarding,2020-11-17,2021-01-07,Closed Won,153451.87,
OPP-00220,LEAD-00220,ACC-0220,New Seller Onboarding,2022-03-23,2022-04-02,Closed Won,60508.61,
OPP-00221,LEAD-00221,ACC-0221,New Seller Onboarding,2021-05-15,2021-05-18,Closed Won,14339.44,
OPP-00222,LEAD-00222,ACC-0222,New Seller Onboarding,2022-12-10,2023-01-09,Closed Won,50196.21,
OPP-00223,LEAD-00223,ACC-0223,New Seller Onboarding,2021-01-03,2021-02-08,Closed Won,13680.59,
OPP-00224,LEAD-00224,ACC-0224,New Seller Onboarding,2024-01-05,2024-01-19,Closed Won,187238.7,
OPP-00225,LEAD-00225,ACC-0225,New Seller Onboarding,2022-09-22,2022-10-25,Closed Won,12698.23,
OPP-00226,LEAD-00226,ACC-0226,New Seller Onboarding,2021-03-14,2021-05-03,Closed Won,155894.93,
OPP-00227,LEAD-00227,ACC-0227,New Seller Onboarding,2024-09-08,2024-09-10,Closed Won,13518.81,
OPP-00228,LEAD-00228,ACC-0228,New Seller Onboarding,2022-05-31,2022-06-04,Closed Won,15375.4,
OPP-00229,LEAD-00229,ACC-0229,New Seller Onboarding,2024-01-29,2024-02-14,Closed Won,151703.13,
OPP-00230,LEAD-00230,ACC-0230,New Seller Onboarding,2024-05-18,2024-05-22,Closed Won,210199.28,
OPP-00231,LEAD-00231,ACC-0231,New Seller Onboarding,2022-07-02,2022-07-15,Closed Won,14074.61,
OPP-00232,LEAD-00232,ACC-0232,New Seller Onboarding,2021-12-19,2021-12-29,Closed Won,14214.65,
OPP-00233,LEAD-00233,ACC-0233,New Seller Onboarding,2024-07-14,2024-07-27,Closed Won,13073.09,
OPP-00234,LEAD-00234,ACC-0234,New Seller Onboarding,2023-01-16,2023-02-17,Closed Won,53570.41,
OPP-00235,LEAD-00235,ACC-0235,New Seller Onboarding,2021-08-30,2021-09-19,Closed Won,206742.16,
OPP-00236,LEAD-00236,ACC-0236,New Seller Onboarding,2024-04-30,2024-06-01,Closed Won,16855.37,
OPP-00237,LEAD-00237,ACC-0237,New Seller Onboarding,2021-11-14,2021-12-09,Closed Won,13066.01,
OPP-00238,LEAD-00238,ACC-0238,New Seller Onboarding,2023-07-11,2023-08-23,Closed Won,12271.29,
OPP-00239,LEAD-00239,ACC-0239,New Seller Onboarding,2021-03-02,2021-03-27,Closed Won,17009.27,
