case_id,customer_id,order_id,category,priority,created_date,resolved_date,resolution_hours,sla_hours,met_sla,status,csat_score
CASE-020175,CUST-020791,ORD-0000243,Return Request,Medium,2023-01-03,2023-01-05,57.6,48,False,Resolved,2.0
CASE-020180,CUST-001882,ORD-0000279,Return Request,High,2023-01-03,2023-01-04,28.2,24,False,Resolved,4.0
CASE-020185,CUST-011803,ORD-0000345,Return Request,Medium,2023-01-03,2023-01-03,3.8,48,True,Resolved,4.0
CASE-020187,CUST-019105,ORD-0000405,Return Request,Medium,2023-01-03,2023-01-06,72.3,48,False,Resolved,4.0
CASE-020194,CUST-026219,ORD-0000511,Return Request,Medium,2023-01-03,2023-01-03,19.5,48,True,Resolved,2.0
CASE-020196,CUST-019894,ORD-0000537,Return Request,Low,2023-01-03,2023-01-04,25.7,72,True,Resolved,4.0
CASE-020197,CUST-019275,ORD-0000569,Return Request,Medium,2023-01-03,2023-01-05,51.3,48,False,Resolved,3.0
CASE-020198,CUST-032529,ORD-0000581,Return Request,Low,2023-01-03,2023-01-05,71.4,72,True,Resolved,4.0
CASE-020200,CUST-003568,ORD-0000614,Return Request,High,2023-01-03,2023-01-03,6.3,24,True,Resolved,4.0
CASE-020201,CUST-009574,ORD-0000627,Return Request,Medium,2023-01-03,2023-01-03,15.2,48,True,Resolved,3.0
CASE-020203,CUST-024289,ORD-0000692,Return Request,Low,2023-01-03,2023-01-04,37.9,72,True,Resolved,5.0
CASE-020205,CUST-019942,ORD-0000779,Return Request,Medium,2023-01-03,2023-01-04,33.4,48,True,Resolved,4.0
CASE-020213,CUST-030209,ORD-0000958,Return Request,Low,2023-01-03,,,72,False,Escalated,
CASE-020214,CUST-034093,ORD-0000966,Return Request,Medium,2023-01-03,2023-01-05,71.4,48,False,Resolved,3.0
CASE-020216,CUST-011611,ORD-0001006,Return Request,High,2023-01-03,2023-01-04,37.6,24,False,Resolved,2.0
CASE-020217,CUST-000943,ORD-0001059,Return Request,Urgent,2023-01-03,2023-01-03,5.5,8,True,Resolved,5.0
CASE-020219,CUST-031900,ORD-0001076,Return Request,High,2023-01-03,2023-01-03,11.0,24,True,Resolved,3.0
CASE-020220,CUST-029647,ORD-0001107,Return Request,Medium,2023-01-03,2023-01-05,56.7,48,False,Resolved,3.0
CASE-020225,CUST-010468,ORD-0001257,Return Request,Low,2023-01-03,2023-01-06,91.5,72,False,Resolved,4.0
CASE-020226,CUST-028859,ORD-0001263,Return Request,Low,2023-01-03,2023-01-12,217.7,72,False,Resolved,3.0
CASE-020227,CUST-004078,ORD-0001273,Return Request,Low,2023-01-03,2023-01-05,69.4,72,True,Resolved,5.0
CASE-020229,CUST-026439,ORD-0001340,Return Request,Low,2023-01-03,2023-01-05,48.2,72,True,Resolved,4.0
CASE-046498,CUST-014514,ORD-0000281,Product Defect,Medium,2023-01-03,2023-01-04,44.3,48,True,Resolved,4.0
CASE-046501,CUST-017360,ORD-0000506,Product Defect,Low,2023-01-03,2023-01-04,29.6,72,True,Resolved,4.0
CASE-053486,CUST-015022,ORD-0000974,Payment Issue,Urgent,2023-01-03,2023-01-03,2.1,8,True,Resolved,3.0
CASE-053487,CUST-016394,ORD-0001058,Payment Issue,Low,2023-01-03,2023-01-08,125.1,72,False,Resolved,3.0
CASE-057978,CUST-010172,,General Inquiry,Medium,2023-01-03,2023-01-04,42.2,48,True,Resolved,3.0
CASE-061214,CUST-002496,,General Inquiry,Low,2023-01-03,2023-01-03,5.0,72,True,Resolved,3.0
CASE-061532,CUST-028151,,General Inquiry,Low,2023-01-03,2023-01-04,37.0,72,True,Resolved,4.0
CASE-061806,CUST-023624,,General Inquiry,Low,2023-01-03,2023-01-04,28.0,72,True,Resolved,4.0
CASE-063099,CUST-023606,,General Inquiry,Low,2023-01-03,2023-01-03,18.0,72,True,Resolved,4.0
CASE-063426,CUST-007560,,General Inquiry,Low,2023-01-03,2023-01-04,27.5,72,True,Resolved,4.0
CASE-063680,CUST-008329,,General Inquiry,Low,2023-01-03,2023-01-06,92.9,72,False,Resolved,3.0
CASE-064549,CUST-027227,,General Inquiry,Low,2023-01-03,,,72,False,Open,
CASE-064719,CUST-003365,,General Inquiry,Medium,2023-01-03,2023-01-03,7.1,48,True,Resolved,5.0
CASE-000003,CUST-024274,ORD-0000214,Delivery Issue,High,2023-01-04,2023-01-04,13.1,24,True,Resolved,4.0
CASE-000006,CUST-031131,ORD-0000274,Delivery Issue,Low,2023-01-04,2023-01-04,12.7,72,True,Resolved,4.0
CASE-000014,CUST-030055,ORD-0000445,Delivery Issue,High,2023-01-04,2023-01-04,11.2,24,True,Resolved,5.0
CASE-000015,CUST-000722,ORD-0000528,Delivery Issue,High,2023-01-04,2023-01-04,6.6,24,True,Resolved,4.0
CASE-000025,CUST-014964,ORD-0000824,Delivery Issue,Low,2023-01-04,2023-01-05,31.0,72,True,Resolved,4.0
CASE-000028,CUST-029353,ORD-0000874,Delivery Issue,Medium,2023-01-04,2023-01-04,13.3,48,True,Resolved,4.0
CASE-000030,CUST-032010,ORD-0000905,Delivery Issue,Low,2023-01-04,2023-01-10,148.3,72,False,Resolved,3.0
CASE-000035,CUST-031613,ORD-0001031,Delivery Issue,Medium,2023-01-04,2023-01-05,30.2,48,True,Resolved,5.0
CASE-000037,CUST-021052,ORD-0001108,Delivery Issue,Medium,2023-01-04,2023-01-05,41.1,48,True,Resolved,5.0
CASE-000038,CUST-006343,ORD-0001123,Delivery Issue,High,2023-01-04,2023-01-04,21.0,24,True,Resolved,3.0
CASE-000039,CUST-006125,ORD-0001129,Delivery Issue,Urgent,2023-01-04,2023-01-04,12.5,8,False,Resolved,4.0
CASE-000043,CUST-031818,ORD-0001225,Delivery Issue,Medium,2023-01-04,2023-01-07,83.0,48,False,Resolved,3.0
CASE-000047,CUST-026088,ORD-0001345,Delivery Issue,Urgent,2023-01-04,2023-01-04,7.5,8,True,Resolved,4.0
CASE-020190,CUST-026464,ORD-0000469,Return Request,Low,2023-01-04,2023-01-11,176.4,72,False,Resolved,4.0
CASE-020191,CUST-016652,ORD-0000471,Return Request,Low,2023-01-04,2023-01-05,27.2,72,True,Resolved,4.0
CASE-020192,CUST-026281,ORD-0000488,Return Request,Low,2023-01-04,2023-01-07,87.1,72,False,Resolved,4.0
CASE-020199,CUST-027632,ORD-0000601,Return Request,Low,2023-01-04,2023-01-06,69.6,72,True,Resolved,4.0
CASE-020206,CUST-028260,ORD-0000804,Return Request,Urgent,2023-01-04,2023-01-04,1.9,8,True,Resolved,5.0
CASE-020208,CUST-026876,ORD-0000884,Return Request,Medium,2023-01-04,2023-01-06,52.3,48,False,Resolved,3.0
CASE-020210,CUST-015111,ORD-0000899,Return Request,Low,2023-01-04,2023-01-06,57.1,72,True,Resolved,4.0
CASE-020211,CUST-033731,ORD-0000934,Return Request,Low,2023-01-04,2023-01-05,43.3,72,True,Resolved,4.0
CASE-020212,CUST-035916,ORD-0000957,Return Request,Low,2023-01-04,2023-01-06,66.7,72,True,Resolved,5.0
CASE-020223,CUST-021879,ORD-0001182,Return Request,High,2023-01-04,,,24,False,Open,
CASE-020224,CUST-016613,ORD-0001200,Return Request,Medium,2023-01-04,2023-01-04,12.5,48,True,Resolved,3.0
CASE-020228,CUST-018842,ORD-0001299,Return Request,Medium,2023-01-04,2023-01-05,43.7,48,True,Resolved,5.0
CASE-020231,CUST-007911,ORD-0001356,Return Request,Low,2023-01-04,2023-01-07,75.1,72,False,Resolved,4.0
CASE-020233,CUST-017350,ORD-0001403,Return Request,Medium,2023-01-04,2023-01-04,14.4,48,True,Resolved,5.0
CASE-020234,CUST-026876,ORD-0001409,Return Request,Low,2023-01-04,2023-01-06,68.6,72,True,Resolved,5.0
CASE-020237,CUST-028412,ORD-0001462,Return Request,Low,2023-01-04,2023-01-06,50.3,72,True,Resolved,3.0
CASE-020241,CUST-010324,ORD-0001480,Return Request,High,2023-01-04,2023-01-05,32.6,24,False,Resolved,4.0
CASE-020242,CUST-028648,ORD-0001489,Return Request,Medium,2023-01-04,2023-01-04,15.3,48,True,Resolved,5.0
CASE-020244,CUST-012250,ORD-0001493,Return Request,Medium,2023-01-04,2023-01-04,16.4,48,True,Resolved,5.0
CASE-020247,CUST-019593,ORD-0001544,Return Request,Low,2023-01-04,2023-01-04,13.3,72,True,Resolved,4.0
CASE-020249,CUST-022010,ORD-0001554,Return Request,High,2023-01-04,2023-01-04,17.9,24,True,Resolved,5.0
CASE-020250,CUST-011854,ORD-0001555,Return Request,Low,2023-01-04,2023-01-07,83.0,72,False,Resolved,2.0
CASE-020254,CUST-016727,ORD-0001658,Return Request,High,2023-01-04,2023-01-06,55.3,24,False,Resolved,3.0
CASE-020256,CUST-001334,ORD-0001672,Return Request,High,2023-01-04,2023-01-06,48.0,24,False,Resolved,4.0
CASE-020258,CUST-020982,ORD-0001692,Return Request,Low,2023-01-04,2023-01-11,188.4,72,False,Resolved,5.0
CASE-020262,CUST-009758,ORD-0001742,Return Request,Medium,2023-01-04,2023-01-04,9.7,48,True,Resolved,5.0
CASE-020264,CUST-012690,ORD-0001801,Return Request,Medium,2023-01-04,2023-01-05,30.6,48,True,Resolved,5.0
CASE-020265,CUST-035081,ORD-0001826,Return Request,Low,2023-01-04,2023-01-05,38.6,72,True,Resolved,4.0
CASE-046500,CUST-024847,ORD-0000485,Product Defect,Urgent,2023-01-04,2023-01-04,8.5,8,False,Resolved,2.0
CASE-046507,CUST-012491,ORD-0001005,Product Defect,Urgent,2023-01-04,2023-01-04,7.7,8,True,Resolved,3.0
CASE-053484,CUST-034282,ORD-0000777,Payment Issue,Medium,2023-01-04,2023-01-04,21.0,48,True,Resolved,4.0
CASE-053485,CUST-014111,ORD-0000803,Payment Issue,Medium,2023-01-04,2023-01-06,49.3,48,False,Resolved,3.0
CASE-053489,CUST-011002,ORD-0001342,Payment Issue,Medium,2023-01-04,2023-01-05,24.8,48,True,Resolved,5.0
CASE-058217,CUST-009735,,General Inquiry,Low,2023-01-04,2023-01-05,33.5,72,True,Resolved,4.0
CASE-059085,CUST-025461,,General Inquiry,High,2023-01-04,2023-01-06,63.7,24,False,Resolved,4.0
CASE-059104,CUST-031018,,General Inquiry,Low,2023-01-04,2023-01-05,35.3,72,True,Resolved,5.0
CASE-059551,CUST-003047,,General Inquiry,Low,2023-01-04,2023-01-05,33.7,72,True,Resolved,5.0
CASE-061368,CUST-019229,,General Inquiry,Medium,2023-01-04,2023-01-05,26.5,48,True,Resolved,5.0
CASE-061524,CUST-023818,,General Inquiry,Low,2023-01-04,2023-01-04,9.2,72,True,Resolved,5.0
CASE-062793,CUST-022515,,General Inquiry,Low,2023-01-04,2023-01-05,32.8,72,True,Resolved,4.0
CASE-062987,CUST-031511,,General Inquiry,Medium,2023-01-04,2023-01-04,12.7,48,True,Resolved,4.0
CASE-064074,CUST-032758,,General Inquiry,Medium,2023-01-04,2023-01-05,30.2,48,True,Resolved,3.0
CASE-064093,CUST-019921,,General Inquiry,Low,2023-01-04,2023-01-05,27.9,72,True,Resolved,5.0
CASE-065340,CUST-014086,,General Inquiry,Medium,2023-01-04,2023-01-04,7.0,48,True,Resolved,3.0
CASE-000001,CUST-000818,ORD-0000076,Delivery Issue,Low,2023-01-05,2023-01-06,39.9,72,True,Resolved,5.0
CASE-000004,CUST-006880,ORD-0000238,Delivery Issue,Medium,2023-01-05,2023-01-09,105.3,48,False,Resolved,2.0
CASE-000009,CUST-034319,ORD-0000353,Delivery Issue,Urgent,2023-01-05,2023-01-05,4.9,8,True,Resolved,5.0
CASE-000019,CUST-000786,ORD-0000685,Delivery Issue,Medium,2023-01-05,2023-01-07,51.2,48,False,Resolved,3.0
CASE-000021,CUST-002905,ORD-0000724,Delivery Issue,Medium,2023-01-05,2023-01-08,75.6,48,False,Resolved,4.0
CASE-000026,CUST-006475,ORD-0000855,Delivery Issue,Medium,2023-01-05,2023-01-06,34.5,48,True,Resolved,5.0
CASE-000027,CUST-005752,ORD-0000866,Delivery Issue,Medium,2023-01-05,2023-01-07,59.1,48,False,Resolved,2.0
CASE-000031,CUST-026288,ORD-0000928,Delivery Issue,Medium,2023-01-05,2023-01-07,63.0,48,False,Resolved,2.0
CASE-000034,CUST-011611,ORD-0001006,Delivery Issue,High,2023-01-05,2023-01-06,30.2,24,False,Resolved,3.0
CASE-000046,CUST-000634,ORD-0001328,Delivery Issue,High,2023-01-05,2023-01-05,18.7,24,True,Resolved,4.0
CASE-000048,CUST-014045,ORD-0001363,Delivery Issue,High,2023-01-05,2023-01-05,16.6,24,True,Resolved,5.0
CASE-000049,CUST-031758,ORD-0001407,Delivery Issue,High,2023-01-05,2023-01-05,15.0,24,True,Resolved,4.0
CASE-000050,CUST-012676,ORD-0001413,Delivery Issue,High,2023-01-05,2023-01-05,7.6,24,True,Resolved,5.0
CASE-000053,CUST-028412,ORD-0001462,Delivery Issue,High,2023-01-05,2023-01-05,16.1,24,True,Resolved,5.0
CASE-000056,CUST-023636,ORD-0001587,Delivery Issue,High,2023-01-05,2023-01-05,23.2,24,True,Resolved,3.0
CASE-000059,CUST-014048,ORD-0001630,Delivery Issue,Low,2023-01-05,2023-01-07,60.2,72,True,Resolved,5.0
CASE-000066,CUST-015235,ORD-0001663,Delivery Issue,Low,2023-01-05,2023-01-06,29.6,72,True,Resolved,4.0
CASE-000070,CUST-013455,ORD-0001764,Delivery Issue,Medium,2023-01-05,2023-01-05,17.1,48,True,Resolved,5.0
CASE-000074,CUST-008526,ORD-0001852,Delivery Issue,Urgent,2023-01-05,2023-01-05,5.3,8,True,Resolved,4.0
CASE-020215,CUST-026739,ORD-0000969,Return Request,Medium,2023-01-05,,,48,False,Open,
CASE-020218,CUST-014727,ORD-0001062,Return Request,Low,2023-01-05,2023-01-06,40.4,72,True,Resolved,4.0
CASE-020221,CUST-012520,ORD-0001134,Return Request,Medium,2023-01-05,2023-01-05,9.3,48,True,Resolved,5.0
CASE-020222,CUST-034721,ORD-0001161,Return Request,High,2023-01-05,2023-01-06,29.7,24,False,Resolved,3.0
CASE-020230,CUST-029234,ORD-0001347,Return Request,High,2023-01-05,2023-01-05,18.6,24,True,Resolved,5.0
CASE-020232,CUST-010456,ORD-0001389,Return Request,Low,2023-01-05,2023-01-07,65.1,72,True,Resolved,3.0
CASE-020235,CUST-027597,ORD-0001415,Return Request,Low,2023-01-05,2023-01-10,136.8,72,False,Resolved,4.0
CASE-020236,CUST-027680,ORD-0001450,Return Request,High,2023-01-05,2023-01-06,40.5,24,False,Resolved,4.0
CASE-020239,CUST-030566,ORD-0001474,Return Request,Low,2023-01-05,2023-01-05,23.5,72,True,Resolved,3.0
CASE-020240,CUST-025790,ORD-0001477,Return Request,High,2023-01-05,2023-01-05,6.1,24,True,Resolved,4.0
CASE-020245,CUST-020778,ORD-0001496,Return Request,High,2023-01-05,2023-01-05,4.6,24,True,Resolved,3.0
CASE-020253,CUST-009075,ORD-0001621,Return Request,Medium,2023-01-05,2023-01-07,66.0,48,False,Resolved,2.0
CASE-020255,CUST-022902,ORD-0001660,Return Request,Low,2023-01-05,2023-01-10,121.5,72,False,Resolved,4.0
CASE-020257,CUST-027372,ORD-0001681,Return Request,Urgent,2023-01-05,2023-01-05,7.4,8,True,Resolved,5.0
CASE-020259,CUST-034359,ORD-0001704,Return Request,Urgent,2023-01-05,2023-01-05,3.5,8,True,Resolved,5.0
CASE-020261,CUST-000410,ORD-0001726,Return Request,Medium,2023-01-05,2023-01-07,50.5,48,False,Resolved,2.0
CASE-020263,CUST-001396,ORD-0001777,Return Request,Low,2023-01-05,2023-01-07,60.6,72,True,Resolved,4.0
CASE-020267,CUST-002027,ORD-0001888,Return Request,Low,2023-01-05,2023-01-06,29.9,72,True,Resolved,4.0
CASE-020268,CUST-015105,ORD-0001889,Return Request,Medium,2023-01-05,2023-01-06,35.7,48,True,Resolved,4.0
CASE-020270,CUST-018745,ORD-0001915,Return Request,High,2023-01-05,,,24,False,Open,
CASE-020271,CUST-017593,ORD-0001935,Return Request,Low,2023-01-05,2023-01-07,49.8,72,True,Resolved,5.0
CASE-020275,CUST-008369,ORD-0002032,Return Request,Medium,2023-01-05,2023-01-06,26.4,48,True,Resolved,4.0
CASE-020276,CUST-019787,ORD-0002042,Return Request,Low,2023-01-05,2023-01-08,94.1,72,False,Resolved,4.0
CASE-020282,CUST-000780,ORD-0002267,Return Request,Low,2023-01-05,2023-01-05,13.6,72,True,Resolved,4.0
CASE-020288,CUST-004052,ORD-0002292,Return Request,High,2023-01-05,2023-01-05,14.0,24,True,Resolved,5.0
CASE-020292,CUST-018411,ORD-0002356,Return Request,Medium,2023-01-05,2023-01-06,46.1,48,True,Resolved,4.0
CASE-046503,CUST-019545,ORD-0000557,Product Defect,High,2023-01-05,2023-01-05,12.9,24,True,Resolved,5.0
CASE-057252,CUST-010212,,General Inquiry,Medium,2023-01-05,2023-01-06,24.4,48,True,Resolved,4.0
CASE-058548,CUST-004531,,General Inquiry,Medium,2023-01-05,2023-01-05,19.8,48,True,Resolved,3.0
CASE-059133,CUST-005432,,General Inquiry,Urgent,2023-01-05,2023-01-05,0.5,8,True,Resolved,4.0
CASE-059457,CUST-012331,,General Inquiry,Medium,2023-01-05,2023-01-05,20.6,48,True,Resolved,5.0
CASE-061188,CUST-025133,,General Inquiry,Low,2023-01-05,2023-01-06,33.0,72,True,Resolved,3.0
CASE-062471,CUST-008688,,General Inquiry,Low,2023-01-05,,,72,False,Open,
CASE-064000,CUST-027000,,General Inquiry,Low,2023-01-05,2023-01-05,10.3,72,True,Resolved,4.0
CASE-064215,CUST-013722,,General Inquiry,Medium,2023-01-05,2023-01-07,54.2,48,False,Resolved,4.0
CASE-000018,CUST-005975,ORD-0000610,Delivery Issue,Low,2023-01-06,2023-01-07,42.5,72,True,Resolved,3.0
CASE-000020,CUST-005607,ORD-0000709,Delivery Issue,Medium,2023-01-06,2023-01-07,28.9,48,True,Resolved,5.0
CASE-000022,CUST-007672,ORD-0000729,Delivery Issue,Low,2023-01-06,2023-01-08,52.0,72,True,Resolved,4.0
CASE-000042,CUST-031893,ORD-0001203,Delivery Issue,Urgent,2023-01-06,2023-01-07,25.3,8,False,Resolved,1.0
CASE-000045,CUST-026360,ORD-0001281,Delivery Issue,High,2023-01-06,2023-01-06,18.2,24,True,Resolved,5.0
CASE-000054,CUST-019998,ORD-0001519,Delivery Issue,Low,2023-01-06,2023-01-07,40.6,72,True,Resolved,4.0
CASE-000062,CUST-025102,ORD-0001645,Delivery Issue,Medium,2023-01-06,2023-01-07,24.6,48,True,Resolved,5.0
CASE-000063,CUST-030763,ORD-0001648,Delivery Issue,High,2023-01-06,2023-01-06,19.1,24,True,Resolved,5.0
CASE-000064,CUST-024972,ORD-0001651,Delivery Issue,Medium,2023-01-06,2023-01-07,36.9,48,True,Resolved,4.0
CASE-000069,CUST-016139,ORD-0001750,Delivery Issue,Medium,2023-01-06,2023-01-06,5.6,48,True,Resolved,2.0
CASE-000080,CUST-008569,ORD-0002003,Delivery Issue,Low,2023-01-06,2023-01-09,72.2,72,False,Resolved,3.0
CASE-000093,CUST-000043,ORD-0002364,Delivery Issue,High,2023-01-06,,,24,False,Open,
CASE-020238,CUST-024733,ORD-0001466,Return Request,Low,2023-01-06,,,72,False,Escalated,
CASE-020243,CUST-033519,ORD-0001492,Return Request,Low,2023-01-06,2023-01-07,36.0,72,True,Resolved,5.0
CASE-020246,CUST-024851,ORD-0001517,Return Request,Medium,2023-01-06,2023-01-07,35.9,48,True,Resolved,5.0
CASE-020248,CUST-027680,ORD-0001545,Return Request,Low,2023-01-06,,,72,False,Open,
CASE-020251,CUST-022921,ORD-0001566,Return Request,High,2023-01-06,2023-01-06,9.3,24,True,Resolved,4.0
CASE-020252,CUST-029024,ORD-0001612,Return Request,High,2023-01-06,2023-01-06,0.6,24,True,Resolved,4.0
