customer_id,registration_date,region,acquisition_channel,marketing_opt_in
CUST-000070,2022-10-25,West,Organic Search,True
CUST-000071,2024-11-22,South,Social Media,True
CUST-000072,2022-01-25,South,Organic Search,True
CUST-000073,2022-12-11,North,Social Media,True
CUST-000074,2024-06-30,East,Organic Search,True
CUST-000075,2023-03-02,Central,Email Campaign,True
CUST-000076,2022-03-20,North,Referral,True
CUST-000077,2022-01-12,West,Paid Ads,True
CUST-000078,2024-02-02,North,Paid Ads,True
CUST-000079,2023-11-19,South,Social Media,False
CUST-000080,2022-06-28,Central,Email Campaign,False
CUST-000081,2022-06-16,North,Referral,True
CUST-000082,2023-05-09,North,Paid Ads,True
CUST-000083,2024-07-21,East,Paid Ads,False
CUST-000084,2023-11-10,Central,Paid Ads,True
CUST-000085,2020-11-22,South,Social Media,False
CUST-000086,2023-09-29,West,Social Media,True
CUST-000087,2024-10-12,North,Email Campaign,True
CUST-000088,2022-12-05,East,Organic Search,False
CUST-000089,2024-07-24,North,Referral,True
CUST-000090,2024-08-26,East,Paid Ads,True
CUST-000091,2022-01-04,West,Organic Search,True
CUST-000092,2022-08-27,East,Organic Search,False
CUST-000093,2022-01-02,Central,Referral,True
CUST-000094,2023-03-28,Central,Paid Ads,True
CUST-000095,2023-12-09,South,Direct,True
CUST-000096,2024-03-28,East,Paid Ads,False
CUST-000097,2020-12-15,East,Social Media,True
CUST-000098,2024-09-27,Central,Paid Ads,True
CUST-000099,2020-12-29,Central,Organic Search,False
CUST-000100,2024-09-17,West,Paid Ads,False
CUST-000101,2023-03-05,North,Social Media,True
CUST-000102,2020-12-28,West,Email Campaign,True
CUST-000103,2020-05-10,South,Organic Search,True
CUST-000104,2021-06-23,West,Referral,True
CUST-000105,2020-05-19,Central,Paid Ads,True
CUST-000106,2024-10-15,East,Organic Search,True
CUST-000107,2023-08-07,East,Social Media,False
CUST-000108,2022-02-07,North,Organic Search,True
CUST-000109,2021-02-16,North,Paid Ads,True
CUST-000110,2023-06-26,Central,Organic Search,False
CUST-000111,2022-10-25,North,Social Media,True
CUST-000112,2021-09-05,East,Email Campaign,True
CUST-000113,2022-05-10,East,Organic Search,False
CUST-000114,2024-03-10,Central,Direct,True
CUST-000115,2020-08-31,East,Social Media,False
CUST-000116,2024-05-12,South,Direct,False
CUST-000117,2024-09-11,North,Paid Ads,False
CUST-000118,2024-07-27,West,Referral,False
CUST-000119,2021-05-24,West,Referral,True
CUST-000120,2024-05-03,North,Organic Search,False
CUST-000121,2023-12-27,Central,Paid Ads,True
CUST-000122,2020-11-24,North,Social Media,False
CUST-000123,2021-07-22,North,Email Campaign,False
CUST-000124,2022-10-22,Central,Referral,True
CUST-000125,2023-01-03,West,Organic Search,False
CUST-000126,2023-11-21,North,Referral,True
CUST-000127,2023-09-23,Central,Email Campaign,False
CUST-000128,2023-08-29,North,Paid Ads,True
CUST-000129,2022-02-04,East,Paid Ads,True
CUST-000130,2024-11-22,Central,Organic Search,True
CUST-000131,2024-08-20,South,Email Campaign,True
CUST-000132,2022-03-28,West,Organic Search,True
CUST-000133,2024-08-29,South,Social Media,True
CUST-000134,2024-05-02,Central,Paid Ads,True
CUST-000135,2022-07-09,West,Organic Search,False
CUST-000136,2024-06-18,South,Paid Ads,True
CUST-000137,2023-10-30,Central,Referral,False
CUST-000138,2023-08-15,South,Social Media,False
CUST-000139,2022-08-16,East,Organic Search,True
CUST-000140,2020-07-15,Central,Social Media,False
CUST-000141,2024-09-09,East,Social Media,True
CUST-000142,2024-08-29,Central,Email Campaign,False
CUST-000143,2023-06-17,West,Paid Ads,False
CUST-000144,2023-10-08,East,Social Media,True
CUST-000145,2024-04-19,North,Organic Search,True
CUST-000146,2020-03-13,East,Referral,True
CUST-000147,2021-12-31,North,Direct,False
CUST-000148,2021-01-15,West,Social Media,True
CUST-000149,2024-11-14,South,Referral,False
CUST-000150,2023-02-22,South,Social Media,True
CUST-000151,2022-10-15,South,Social Media,False
CUST-000152,2024-04-17,Central,Social Media,True
CUST-000153,2023-03-24,South,Organic Search,False
CUST-000154,2023-06-03,West,Paid Ads,True
CUST-000155,2024-10-31,East,Direct,False
CUST-000156,2023-09-15,West,Email Campaign,True
CUST-000157,2022-10-31,North,Organic Search,True
CUST-000158,2022-11-24,Central,Social Media,True
CUST-000159,2023-09-30,West,Paid Ads,False
CUST-000160,2022-11-27,Central,Social Media,True
CUST-000161,2023-05-02,Central,Referral,False
CUST-000162,2023-11-09,Central,Organic Search,True
CUST-000163,2022-11-24,East,Social Media,True
CUST-000164,2024-01-28,East,Social Media,True
CUST-000165,2024-12-03,West,Paid Ads,True
CUST-000166,2024-10-16,Central,Organic Search,False
CUST-000167,2021-03-03,Central,Social Media,True
CUST-000168,2024-02-29,North,Social Media,True
CUST-000169,2022-11-03,East,Social Media,False
CUST-000170,2023-06-07,Central,Referral,False
CUST-000171,2020-12-05,Central,Paid Ads,True
CUST-000172,2024-11-08,Central,Direct,False
CUST-000173,2024-06-24,East,Social Media,True
CUST-000174,2024-09-25,East,Organic Search,False
CUST-000175,2021-05-21,Central,Organic Search,False
CUST-000176,2022-09-10,Central,Email Campaign,True
CUST-000177,2023-03-05,Central,Social Media,False
CUST-000178,2023-02-21,Central,Paid Ads,False
CUST-000179,2024-06-17,Central,Referral,True
CUST-000180,2023-09-21,South,Paid Ads,False
CUST-000181,2024-07-30,West,Paid Ads,True
CUST-000182,2020-07-27,North,Email Campaign,True
CUST-000183,2022-02-17,Central,Paid Ads,True
CUST-000184,2021-07-31,Central,Organic Search,False
CUST-000185,2024-08-16,North,Social Media,True
CUST-000186,2024-07-07,North,Email Campaign,True
CUST-000187,2023-11-23,West,Social Media,True
CUST-000188,2021-11-06,North,Referral,True
CUST-000189,2024-02-15,North,Paid Ads,True
CUST-000190,2023-09-18,Central,Paid Ads,True
CUST-000191,2024-02-14,Central,Referral,False
CUST-000192,2023-01-09,South,Organic Search,True
CUST-000193,2023-12-04,West,Paid Ads,False
CUST-000194,2024-11-09,Central,Paid Ads,True
CUST-000195,2024-11-23,Central,Referral,True
CUST-000196,2024-09-06,North,Paid Ads,False
CUST-000197,2020-10-15,East,Direct,False
CUST-000198,2024-01-31,Central,Organic Search,True
CUST-000199,2021-09-08,Central,Organic Search,True
CUST-000200,2022-04-06,Central,Social Media,True
CUST-000201,2023-05-26,East,Social Media,True
CUST-000202,2024-06-21,North,Organic Search,False
CUST-000203,2024-08-08,Central,Organic Search,False
CUST-000204,2022-10-10,East,Paid Ads,False
CUST-000205,2024-08-21,Central,Social Media,True
CUST-000206,2023-03-11,East,Social Media,False
CUST-000207,2020-01-19,West,Social Media,True
CUST-000208,2024-05-13,West,Email Campaign,True
CUST-000209,2023-03-03,East,Paid Ads,True
CUST-000210,2022-03-26,East,Social Media,True
CUST-000211,2021-07-10,North,Organic Search,True
CUST-000212,2023-06-04,Central,Organic Search,True
CUST-000213,2023-12-05,North,Paid Ads,True
CUST-000214,2024-11-30,Central,Referral,True
CUST-000215,2024-07-13,Central,Referral,True
CUST-000216,2023-12-30,Central,Paid Ads,True
CUST-000217,2023-08-28,South,Paid Ads,False
CUST-000218,2021-08-05,East,Email Campaign,False
CUST-000219,2024-02-02,West,Paid Ads,False
CUST-000220,2022-03-03,South,Paid Ads,True
CUST-000221,2023-03-14,South,Organic Search,False
CUST-000222,2024-09-22,West,Email Campaign,True
CUST-000223,2023-11-22,East,Organic Search,False
CUST-000224,2022-03-24,East,Paid Ads,False
CUST-000225,2024-01-16,East,Email Campaign,False
CUST-000226,2022-09-09,South,Paid Ads,False
CUST-000227,2024-05-11,East,Paid Ads,True
CUST-000228,2022-09-07,South,Organic Search,False
CUST-000229,2023-11-22,South,Paid Ads,False
CUST-000230,2022-11-06,Central,Organic Search,True
CUST-000231,2021-01-01,South,Organic Search,True
CUST-000232,2020-05-03,South,Paid Ads,True
CUST-000233,2022-01-25,Central,Paid Ads,True
CUST-000234,2024-09-11,Central,Referral,True
CUST-000235,2023-04-09,Central,Organic Search,False
CUST-000236,2024-04-25,West,Referral,True
CUST-000237,2023-03-03,South,Organic Search,True
CUST-000238,2024-04-06,North,Email Campaign,True
CUST-000239,2024-08-10,West,Paid Ads,True
CUST-000240,2024-11-24,East,Paid Ads,False
CUST-000241,2023-11-18,North,Email Campaign,True
CUST-000242,2022-11-13,North,Organic Search,True
CUST-000243,2022-12-23,West,Referral,True
CUST-000244,2022-03-22,Central,Paid Ads,True
CUST-000245,2024-10-09,East,Organic Search,True
CUST-000246,2024-06-19,North,Organic Search,True
CUST-000247,2024-03-17,East,Paid Ads,False
CUST-000248,2022-03-13,North,Email Campaign,True
CUST-000249,2020-09-07,Central,Paid Ads,False
CUST-000250,2023-06-20,South,Paid Ads,False
CUST-000251,2021-12-08,South,Social Media,True
CUST-000252,2023-11-27,Central,Organic Search,False
CUST-000253,2020-12-19,West,Referral,True
CUST-000254,2022-10-19,West,Paid Ads,True
CUST-000255,2024-01-04,West,Organic Search,True
CUST-000256,2022-12-17,Central,Organic Search,True
CUST-000257,2023-09-19,Central,Email Campaign,False
CUST-000258,2022-06-17,West,Paid Ads,True
CUST-000259,2023-01-14,South,Social Media,True
CUST-000260,2024-08-30,Central,Organic Search,True
CUST-000261,2024-08-11,Central,Paid Ads,True
CUST-000262,2024-04-11,West,Organic Search,True
CUST-000263,2022-09-26,Central,Paid Ads,False
CUST-000264,2024-02-11,Central,Direct,True
CUST-000265,2023-07-01,East,Organic Search,True
CUST-000266,2021-09-29,Central,Organic Search,True
CUST-000267,2024-10-26,South,Organic Search,True
CUST-000268,2022-04-06,Central,Paid Ads,True
CUST-000269,2023-05-11,North,Email Campaign,True
CUST-000270,2024-10-15,Central,Paid Ads,True
CUST-000271,2023-12-01,Central,Email Campaign,True
CUST-000272,2024-10-09,Central,Paid Ads,False
CUST-000273,2024-09-26,North,Email Campaign,False
CUST-000274,2023-01-21,South,Social Media,True
CUST-000275,2023-01-29,West,Organic Search,False
CUST-000276,2023-09-15,Central,Referral,False
CUST-000277,2024-05-10,Central,Paid Ads,False
CUST-000278,2022-03-21,West,Email Campaign,True
CUST-000279,2023-07-24,West,Social Media,False
CUST-000280,2020-09-26,South,Referral,False
CUST-000281,2021-10-13,Central,Organic Search,True
CUST-000282,2021-01-04,Central,Email Campaign,True
CUST-000283,2022-03-23,East,Referral,True
CUST-000284,2021-12-02,North,Paid Ads,True
CUST-000285,2024-06-09,South,Paid Ads,False
CUST-000286,2022-07-28,Central,Social Media,False
CUST-000287,2021-04-11,Central,Direct,True
CUST-000288,2021-07-10,South,Social Media,False
CUST-000289,2024-09-02,East,Email Campaign,False
CUST-000290,2022-09-25,East,Social Media,True
CUST-000291,2024-05-13,Central,Organic Search,True
CUST-000292,2022-05-22,Central,Paid Ads,True
CUST-000293,2022-05-13,North,Organic Search,True
CUST-000294,2024-05-12,South,Organic Search,True
CUST-000295,2022-01-29,Central,Direct,True
CUST-000296,2024-09-16,North,Organic Search,True
CUST-000297,2023-09-06,East,Paid Ads,True
CUST-000298,2021-03-24,Central,Organic Search,True
CUST-000299,2023-11-18,Central,Paid Ads,True
CUST-000300,2023-08-09,South,Email Campaign,True
CUST-000301,2022-10-12,West,Paid Ads,False
CUST-000302,2023-11-25,North,Referral,True
CUST-000303,2021-03-30,Central,Paid Ads,False
CUST-000304,2023-08-13,Central,Paid Ads,False
CUST-000305,2024-11-21,South,Social Media,False
CUST-000306,2020-06-04,South,Direct,True
CUST-000307,2024-01-14,West,Paid Ads,False
CUST-000308,2023-04-11,East,Email Campaign,False
CUST-000309,2024-08-12,Central,Social Media,True
CUST-000310,2022-02-03,North,Organic Search,True
CUST-000311,2020-07-18,West,Social Media,True
CUST-000312,2020-05-15,West,Referral,True
CUST-000313,2022-12-22,North,Social Media,True
CUST-000314,2021-09-12,West,Organic Search,True
CUST-000315,2023-07-03,North,Organic Search,True
CUST-000316,2022-11-05,West,Organic Search,False
CUST-000317,2022-06-27,North,Organic Search,True
CUST-000318,2024-04-21,North,Social Media,True
CUST-000319,2021-03-06,North,Social Media,True
CUST-000320,2020-02-08,South,Email Campaign,True
CUST-000321,2022-02-04,West,Organic Search,False
CUST-000322,2021-12-11,East,Organic Search,False
CUST-000323,2022-07-11,Central,Paid Ads,False
CUST-000324,2022-06-08,Central,Paid Ads,True
CUST-000325,2020-12-08,Central,Paid Ads,False
CUST-000326,2022-05-21,Central,Paid Ads,True
CUST-000327,2024-01-14,West,Organic Search,True
CUST-000328,2020-04-20,East,Organic Search,True
CUST-000329,2022-01-13,West,Paid Ads,False
CUST-000330,2022-05-24,South,Referral,False
CUST-000331,2024-02-10,Central,Organic Search,True
CUST-000332,2022-06-18,West,Organic Search,False
CUST-000333,2023-01-01,East,Email Campaign,True
CUST-000334,2022-03-29,Central,Email Campaign,True
CUST-000335,2022-08-13,West,Organic Search,True
CUST-000336,2024-09-17,East,Paid Ads,True
CUST-000337,2024-10-28,North,Social Media,False
CUST-000338,2024-02-02,South,Referral,True
CUST-000339,2022-10-04,East,Direct,True
CUST-000340,2021-12-09,Central,Referral,True
CUST-000341,2022-06-28,West,Organic Search,True
CUST-000342,2022-01-23,East,Organic Search,False
CUST-000343,2022-07-07,North,Social Media,False
CUST-000344,2020-05-27,South,Referral,False
CUST-000345,2023-10-09,West,Referral,False
CUST-000346,2023-04-11,Central,Organic Search,True
CUST-000347,2024-03-08,North,Organic Search,True
CUST-000348,2021-01-23,Central,Direct,True
CUST-000349,2022-07-21,West,Social Media,True
CUST-000350,2023-02-15,South,Direct,True
CUST-000351,2021-09-23,North,Social Media,True
CUST-000352,2023-11-29,Central,Social Media,True
CUST-000353,2024-11-28,West,Referral,False
CUST-000354,2022-06-07,North,Organic Search,True
CUST-000355,2022-05-22,South,Social Media,True
CUST-000356,2020-02-26,Central,Organic Search,True
CUST-000357,2021-03-25,Central,Organic Search,False
CUST-000358,2024-03-24,North,Social Media,False
CUST-000359,2024-02-17,South,Social Media,True
CUST-000360,2024-04-06,North,Organic Search,True
CUST-000361,2023-02-22,North,Direct,True
CUST-000362,2024-10-13,South,Direct,True
CUST-000363,2024-08-03,North,Paid Ads,False
CUST-000364,2021-11-20,East,Paid Ads,True
CUST-000365,2022-08-12,South,Email Campaign,False
CUST-000366,2022-12-02,West,Referral,True
CUST-000367,2022-12-06,East,Direct,True
CUST-000368,2023-05-27,West,Organic Search,True
CUST-000369,2023-06-19,South,Referral,True
CUST-000370,2020-01-10,South,Organic Search,False
CUST-000371,2023-11-28,Central,Paid Ads,False
CUST-000372,2022-05-27,Central,Organic Search,True
CUST-000373,2023-05-09,East,Email Campaign,False
CUST-000374,2021-06-10,North,Social Media,True
CUST-000375,2024-08-31,East,Organic Search,True
CUST-000376,2021-02-02,East,Referral,True
CUST-000377,2022-06-10,Central,Paid Ads,True
CUST-000378,2020-12-17,Central,Social Media,True
CUST-000379,2023-01-07,North,Referral,False
CUST-000380,2024-07-27,South,Organic Search,True
CUST-000381,2020-06-17,North,Organic Search,False
CUST-000382,2024-01-27,South,Social Media,True
CUST-000383,2021-03-22,East,Social Media,True
CUST-000384,2022-11-15,Central,Paid Ads,False
CUST-000385,2020-12-03,South,Social Media,True
CUST-000386,2023-05-23,East,Organic Search,False
CUST-000387,2023-11-20,Central,Referral,True
CUST-000388,2024-05-14,East,Organic Search,False
CUST-000389,2021-05-26,East,Direct,False
CUST-000390,2022-10-15,West,Email Campaign,False
CUST-000391,2022-05-18,Central,Email Campaign,True
CUST-000392,2022-12-05,Central,Referral,False
CUST-000393,2023-01-01,Central,Referral,True
CUST-000394,2021-10-30,Central,Email Campaign,True
CUST-000395,2024-01-31,Central,Referral,True
CUST-000396,2024-11-08,North,Direct,True
CUST-000397,2022-06-06,South,Paid Ads,False
CUST-000398,2022-12-07,Central,Referral,False
CUST-000399,2024-07-30,Central,Paid Ads,False
CUST-000400,2024-02-20,Central,Organic Search,True
CUST-000401,2023-11-16,Central,Social Media,False
CUST-000402,2024-02-09,South,Organic Search,False
CUST-000403,2021-06-20,West,Organic Search,True
CUST-000404,2023-12-18,North,Social Media,True
CUST-000405,2022-02-13,West,Social Media,True
CUST-000406,2023-12-15,West,Referral,True
CUST-000407,2023-01-26,Central,Email Campaign,False
CUST-000408,2024-10-05,South,Social Media,True
CUST-000409,2024-03-19,North,Referral,False
CUST-000410,2020-12-04,South,Social Media,True
CUST-000411,2020-12-04,East,Referral,True
CUST-000412,2024-11-05,North,Paid Ads,True
CUST-000413,2021-09-10,Central,Social Media,True
CUST-000414,2023-07-05,Central,Email Campaign,False
CUST-000415,2021-03-23,Central,Direct,True
CUST-000416,2022-05-08,South,Paid Ads,True
CUST-000417,2023-10-24,East,Paid Ads,False
CUST-000418,2020-11-29,North,Email Campaign,False
CUST-000419,2022-08-11,South,Paid Ads,False
CUST-000420,2021-12-25,Central,Paid Ads,True
CUST-000421,2023-02-22,South,Direct,False
CUST-000422,2023-08-03,Central,Paid Ads,False
CUST-000423,2021-10-14,West,Social Media,True
CUST-000424,2021-07-14,East,Organic Search,True
CUST-000425,2021-04-25,Central,Organic Search,False
CUST-000426,2021-04-30,Central,Paid Ads,True
CUST-000427,2024-02-19,West,Social Media,True
CUST-000428,2023-04-11,North,Organic Search,False
CUST-000429,2023-04-13,Central,Email Campaign,False
CUST-000430,2021-03-01,South,Email Campaign,False
CUST-000431,2020-08-13,Central,Referral,True
CUST-000432,2024-03-16,Central,Paid Ads,True
CUST-000433,2024-07-23,South,Referral,True
CUST-000434,2023-09-10,Central,Social Media,True
CUST-000435,2022-04-20,Central,Paid Ads,False
CUST-000436,2022-08-15,West,Organic Search,True
CUST-000437,2021-01-01,Central,Referral,False
CUST-000438,2021-10-31,East,Organic Search,False
CUST-000439,2024-11-12,North,Organic Search,True
CUST-000440,2024-07-29,East,Organic Search,True
CUST-000441,2023-02-24,Central,Organic Search,True
CUST-000442,2023-09-21,South,Paid Ads,True
CUST-000443,2024-11-20,Central,Email Campaign,False
CUST-000444,2024-09-06,North,Paid Ads,True
CUST-000445,2023-09-13,South,Paid Ads,False
CUST-000446,2023-08-19,South,Organic Search,True
CUST-000447,2024-02-02,East,Social Media,False
CUST-000448,2022-05-25,Central,Organic Search,False
CUST-000449,2023-02-05,West,Direct,False
CUST-000450,2024-08-15,North,Email Campaign,True
CUST-000451,2023-08-21,North,Paid Ads,True
CUST-000452,2024-06-09,Central,Organic Search,True
CUST-000453,2021-12-19,North,Paid Ads,True
CUST-000454,2024-06-22,Central,Email Campaign,True
CUST-000455,2022-07-17,North,Organic Search,True
CUST-000456,2021-05-04,Central,Social Media,False
CUST-000457,2024-07-14,East,Referral,False
CUST-000458,2023-12-22,Central,Paid Ads,False
CUST-000459,2021-04-21,South,Organic Search,False
CUST-000460,2022-06-20,East,Organic Search,True
CUST-000461,2024-04-19,West,Referral,True
CUST-000462,2022-09-20,Central,Social Media,False
CUST-000463,2023-09-17,East,Referral,False
CUST-000464,2023-04-12,South,Social Media,True
CUST-000465,2023-08-12,North,Email Campaign,True
CUST-000466,2022-06-03,Central,Email Campaign,True
CUST-000467,2022-11-16,West,Email Campaign,False
CUST-000468,2022-03-22,South,Email Campaign,False
CUST-000469,2024-07-02,East,Social Media,True
CUST-000470,2021-10-21,Central,Organic Search,True
CUST-000471,2024-10-06,Central,Paid Ads,False
CUST-000472,2022-06-27,North,Social Media,False
CUST-000473,2022-05-04,North,Referral,False
CUST-000474,2023-12-26,Central,Paid Ads,True
CUST-000475,2023-09-08,North,Social Media,True
CUST-000476,2022-02-01,West,Email Campaign,True
CUST-000477,2024-12-02,West,Paid Ads,False
CUST-000478,2024-05-19,Central,Social Media,True
CUST-000479,2024-09-14,South,Social Media,False
CUST-000480,2024-06-26,West,Direct,True
CUST-000481,2023-12-25,South,Referral,False
CUST-000482,2024-10-25,Central,Social Media,True
CUST-000483,2024-12-08,East,Social Media,False
CUST-000484,2024-09-15,North,Paid Ads,False
CUST-000485,2024-09-28,North,Organic Search,True
CUST-000486,2023-12-14,East,Referral,True
CUST-000487,2023-05-06,Central,Paid Ads,False
CUST-000488,2024-05-08,South,Organic Search,True
CUST-000489,2023-05-09,Central,Email Campaign,False
CUST-000490,2024-01-31,Central,Social Media,True
CUST-000491,2021-04-14,North,Paid Ads,True
CUST-000492,2022-09-15,West,Organic Search,False
CUST-000493,2021-10-06,Central,Paid Ads,True
CUST-000494,2023-12-24,East,Social Media,True
CUST-000495,2024-06-03,South,Referral,True
CUST-000496,2021-09-23,Central,Social Media,True
CUST-000497,2024-06-28,East,Paid Ads,True
CUST-000498,2024-02-06,South,Referral,True
CUST-000499,2023-08-23,Central,Paid Ads,True
CUST-000500,2024-06-04,North,Organic Search,True
CUST-000501,2021-05-03,North,Paid Ads,True
CUST-000502,2024-08-27,South,Social Media,False
CUST-000503,2021-10-05,Central,Social Media,True
CUST-000504,2023-10-17,Central,Email Campaign,True
CUST-000505,2023-05-09,Central,Organic Search,False
CUST-000506,2021-05-18,East,Social Media,True
CUST-000507,2024-10-11,North,Referral,True
CUST-000508,2022-03-20,West,Referral,False
CUST-000509,2022-01-09,North,Referral,True
CUST-000510,2023-01-02,South,Paid Ads,False
CUST-000511,2020-04-20,Central,Organic Search,False
CUST-000512,2022-11-18,Central,Paid Ads,False
CUST-000513,2024-07-28,Central,Organic Search,True
CUST-000514,2021-01-26,North,Referral,True
CUST-000515,2022-08-12,North,Social Media,True
CUST-000516,2021-10-30,West,Paid Ads,False
CUST-000517,2023-04-07,East,Paid Ads,True
CUST-000518,2023-02-01,Central,Email Campaign,False
CUST-000519,2024-10-14,Central,Paid Ads,False
CUST-000520,2022-09-19,Central,Social Media,True
CUST-000521,2023-09-04,South,Organic Search,False
CUST-000522,2024-07-13,East,Email Campaign,False
CUST-000523,2023-09-01,Central,Paid Ads,False
CUST-000524,2022-11-10,Central,Email Campaign,False
CUST-000525,2024-04-21,West,Email Campaign,True
CUST-000526,2023-07-23,Central,Organic Search,False
CUST-000527,2023-05-23,North,Referral,True
CUST-000528,2024-01-23,West,Referral,True
CUST-000529,2024-09-05,Central,Paid Ads,False
CUST-000530,2022-03-19,Central,Organic Search,False
CUST-000531,2022-09-23,East,Paid Ads,False
CUST-000532,2024-08-26,North,Social Media,False
CUST-000533,2023-12-04,West,Organic Search,True
CUST-000534,2023-07-21,East,Social Media,True
CUST-000535,2023-12-21,South,Paid Ads,True
CUST-000536,2021-09-09,North,Direct,True
CUST-000537,2024-01-13,North,Social Media,False
CUST-000538,2024-05-06,North,Paid Ads,True
CUST-000539,2023-02-12,North,Social Media,False
CUST-000540,2022-08-19,Central,Paid Ads,False
CUST-000541,2024-12-09,East,Social Media,True
CUST-000542,2023-11-23,East,Referral,False
CUST-000543,2023-11-06,East,Paid Ads,False
CUST-000544,2022-07-28,West,Referral,True
CUST-000545,2024-07-15,South,Organic Search,True
CUST-000546,2024-08-16,West,Organic Search,False
CUST-000547,2021-01-25,Central,Organic Search,True
CUST-000548,2021-08-12,East,Organic Search,False
CUST-000549,2024-03-02,Central,Direct,False
CUST-000550,2023-02-19,West,Paid Ads,True
CUST-000551,2021-01-20,East,Direct,False
CUST-000552,2023-01-10,East,Social Media,False
CUST-000553,2020-04-06,West,Organic Search,True
CUST-000554,2024-05-03,North,Referral,True
CUST-000555,2023-08-12,Central,Organic Search,True
CUST-000556,2024-08-22,South,Organic Search,True
CUST-000557,2024-02-10,Central,Social Media,True
CUST-000558,2023-09-10,East,Organic Search,True
CUST-000559,2022-12-15,Central,Direct,False
CUST-000560,2020-07-21,East,Organic Search,False
CUST-000561,2024-04-17,East,Social Media,False
CUST-000562,2021-03-07,North,Paid Ads,False
CUST-000563,2023-11-04,East,Referral,False
CUST-000564,2023-06-09,North,Organic Search,False
CUST-000565,2022-09-02,North,Referral,False
CUST-000566,2022-05-04,Central,Social Media,False
CUST-000567,2024-04-05,West,Direct,True
CUST-000568,2021-03-20,East,Paid Ads,False
CUST-000569,2020-11-24,South,Organic Search,False
CUST-000570,2021-03-23,South,Paid Ads,False
CUST-000571,2024-01-05,East,Organic Search,True
CUST-000572,2023-01-10,East,Paid Ads,True
CUST-000573,2022-09-23,West,Referral,False
CUST-000574,2022-09-25,East,Paid Ads,False
CUST-000575,2024-08-29,East,Referral,True
CUST-000576,2021-02-09,West,Social Media,True
CUST-000577,2024-07-18,Central,Organic Search,True
CUST-000578,2023-07-24,Central,Referral,False
