activity_id,regarding_type,regarding_id,activity_type,activity_date
ACT-0002105,Opportunity,OPP-00056,Phone Call,2021-02-27
ACT-0000777,Lead,LEAD-00308,Task,2021-02-28
ACT-0000964,Lead,LEAD-00392,Email,2021-02-28
ACT-0001424,Lead,LEAD-00569,Email,2021-02-28
ACT-0001670,Lead,LEAD-00669,Email,2021-02-28
ACT-0002505,Opportunity,OPP-00156,Meeting,2021-02-28
ACT-0000594,Lead,LEAD-00239,Task,2021-03-01
ACT-0000774,Lead,LEAD-00308,Task,2021-03-01
ACT-0000866,Lead,LEAD-00347,Email,2021-03-01
ACT-0001348,Lead,LEAD-00541,Task,2021-03-01
ACT-0002933,Opportunity,OPP-00262,Task,2021-03-02
ACT-0002106,Opportunity,OPP-00056,Phone Call,2021-03-03
ACT-0000868,Lead,LEAD-00347,Email,2021-03-04
ACT-0000965,Lead,LEAD-00392,Task,2021-03-04
ACT-0001077,Lead,LEAD-00434,Phone Call,2021-03-04
ACT-0002008,Opportunity,OPP-00032,Task,2021-03-04
ACT-0002890,Opportunity,OPP-00251,Email,2021-03-04
ACT-0003010,Opportunity,OPP-00280,Meeting,2021-03-04
ACT-0001408,Lead,LEAD-00562,Email,2021-03-05
ACT-0003316,Opportunity,OPP-00358,Email,2021-03-05
ACT-0001195,Lead,LEAD-00484,Phone Call,2021-03-06
ACT-0001427,Lead,LEAD-00569,Email,2021-03-06
ACT-0002383,Opportunity,OPP-00127,Phone Call,2021-03-06
ACT-0003315,Opportunity,OPP-00358,Phone Call,2021-03-06
ACT-0001563,Lead,LEAD-00628,Meeting,2021-03-07
ACT-0002385,Opportunity,OPP-00127,Meeting,2021-03-07
ACT-0000867,Lead,LEAD-00347,Meeting,2021-03-08
ACT-0002077,Opportunity,OPP-00051,Email,2021-03-08
ACT-0002078,Opportunity,OPP-00051,Phone Call,2021-03-08
ACT-0002610,Opportunity,OPP-00183,Email,2021-03-08
ACT-0002841,Opportunity,OPP-00239,Email,2021-03-08
ACT-0000567,Lead,LEAD-00226,Email,2021-03-09
ACT-0001184,Lead,LEAD-00480,Task,2021-03-09
ACT-0001196,Lead,LEAD-00484,Email,2021-03-09
ACT-0002107,Opportunity,OPP-00056,Phone Call,2021-03-09
ACT-0003558,Opportunity,OPP-00418,Phone Call,2021-03-09
ACT-0000614,Lead,LEAD-00246,Email,2021-03-10
ACT-0000776,Lead,LEAD-00308,Meeting,2021-03-10
ACT-0001194,Lead,LEAD-00484,Phone Call,2021-03-10
ACT-0002661,Opportunity,OPP-00195,Phone Call,2021-03-10
ACT-0003105,Opportunity,OPP-00300,Email,2021-03-10
ACT-0000678,Lead,LEAD-00271,Phone Call,2021-03-11
ACT-0001186,Lead,LEAD-00480,Phone Call,2021-03-11
ACT-0002663,Opportunity,OPP-00195,Email,2021-03-11
ACT-0002842,Opportunity,OPP-00239,Email,2021-03-11
ACT-0000500,Lead,LEAD-00201,Phone Call,2021-03-12
ACT-0000501,Lead,LEAD-00201,Phone Call,2021-03-12
ACT-0000679,Lead,LEAD-00271,Task,2021-03-12
ACT-0002108,Opportunity,OPP-00056,Meeting,2021-03-12
ACT-0002384,Opportunity,OPP-00127,Phone Call,2021-03-12
ACT-0003387,Opportunity,OPP-00376,Phone Call,2021-03-12
ACT-0000712,Lead,LEAD-00283,Phone Call,2021-03-13
ACT-0001197,Lead,LEAD-00484,Meeting,2021-03-13
ACT-0002109,Opportunity,OPP-00056,Task,2021-03-13
ACT-0002889,Opportunity,OPP-00251,Task,2021-03-13
ACT-0002906,Opportunity,OPP-00255,Phone Call,2021-03-13
ACT-0001346,Lead,LEAD-00541,Task,2021-03-14
ACT-0001407,Lead,LEAD-00562,Email,2021-03-14
ACT-0001671,Lead,LEAD-00669,Email,2021-03-14
ACT-0002079,Opportunity,OPP-00051,Task,2021-03-14
ACT-0002508,Opportunity,OPP-00156,Phone Call,2021-03-14
ACT-0002783,Opportunity,OPP-00226,Phone Call,2021-03-14
ACT-0000066,Lead,LEAD-00029,Email,2021-03-15
ACT-0001425,Lead,LEAD-00569,Email,2021-03-15
ACT-0002893,Opportunity,OPP-00251,Task,2021-03-15
ACT-0000494,Lead,LEAD-00198,Email,2021-03-16
ACT-0000616,Lead,LEAD-00246,Phone Call,2021-03-16
ACT-0001345,Lead,LEAD-00541,Email,2021-03-16
ACT-0003011,Opportunity,OPP-00280,Meeting,2021-03-16
ACT-0000502,Lead,LEAD-00202,Phone Call,2021-03-17
ACT-0000550,Lead,LEAD-00221,Phone Call,2021-03-17
ACT-0001185,Lead,LEAD-00480,Meeting,2021-03-17
ACT-0001406,Lead,LEAD-00562,Email,2021-03-17
ACT-0003012,Opportunity,OPP-00280,Phone Call,2021-03-17
ACT-0001347,Lead,LEAD-00541,Email,2021-03-18
ACT-0001426,Lead,LEAD-00569,Email,2021-03-18
ACT-0003553,Opportunity,OPP-00418,Task,2021-03-19
ACT-0000505,Lead,LEAD-00202,Task,2021-03-20
ACT-0000548,Lead,LEAD-00221,Task,2021-03-20
ACT-0002303,Opportunity,OPP-00104,Email,2021-03-20
ACT-0003103,Opportunity,OPP-00300,Phone Call,2021-03-20
ACT-0003388,Opportunity,OPP-00376,Task,2021-03-20
ACT-0000681,Lead,LEAD-00271,Email,2021-03-21
ACT-0002082,Opportunity,OPP-00051,Phone Call,2021-03-21
ACT-0003496,Opportunity,OPP-00402,Email,2021-03-21
ACT-0002386,Opportunity,OPP-00127,Task,2021-03-22
ACT-0003102,Opportunity,OPP-00300,Email,2021-03-22
ACT-0003555,Opportunity,OPP-00418,Email,2021-03-22
ACT-0000504,Lead,LEAD-00202,Phone Call,2021-03-23
ACT-0000549,Lead,LEAD-00221,Email,2021-03-23
ACT-0000613,Lead,LEAD-00246,Email,2021-03-23
ACT-0000615,Lead,LEAD-00246,Phone Call,2021-03-23
ACT-0000680,Lead,LEAD-00271,Phone Call,2021-03-23
ACT-0002302,Opportunity,OPP-00104,Meeting,2021-03-23
ACT-0003554,Opportunity,OPP-00418,Meeting,2021-03-23
ACT-0003557,Opportunity,OPP-00418,Meeting,2021-03-23
ACT-0001669,Lead,LEAD-00668,Email,2021-03-24
ACT-0002611,Opportunity,OPP-00183,Phone Call,2021-03-24
ACT-0002868,Opportunity,OPP-00246,Task,2021-03-24
ACT-0003104,Opportunity,OPP-00300,Email,2021-03-24
ACT-0001187,Lead,LEAD-00480,Phone Call,2021-03-25
ACT-0002908,Opportunity,OPP-00255,Phone Call,2021-03-26
ACT-0000503,Lead,LEAD-00202,Phone Call,2021-03-28
ACT-0002843,Opportunity,OPP-00239,Task,2021-03-28
ACT-0002909,Opportunity,OPP-00255,Phone Call,2021-03-28
ACT-0002304,Opportunity,OPP-00104,Email,2021-03-29
ACT-0002781,Opportunity,OPP-00226,Phone Call,2021-03-29
ACT-0002907,Opportunity,OPP-00255,Phone Call,2021-03-29
ACT-0000251,Lead,LEAD-00100,Phone Call,2021-03-31
ACT-0000248,Lead,LEAD-00100,Phone Call,2021-04-01
ACT-0002891,Opportunity,OPP-00251,Meeting,2021-04-01
ACT-0003373,Opportunity,OPP-00373,Email,2021-04-01
ACT-0002784,Opportunity,OPP-00226,Email,2021-04-03
ACT-0003384,Opportunity,OPP-00376,Email,2021-04-03
ACT-0001091,Lead,LEAD-00441,Phone Call,2021-04-04
ACT-0002892,Opportunity,OPP-00251,Meeting,2021-04-04
ACT-0002690,Opportunity,OPP-00202,Phone Call,2021-04-07
ACT-0000264,Lead,LEAD-00105,Email,2021-04-08
ACT-0001418,Lead,LEAD-00567,Meeting,2021-04-08
ACT-0000263,Lead,LEAD-00105,Email,2021-04-09
ACT-0002683,Opportunity,OPP-00201,Phone Call,2021-04-09
ACT-0003374,Opportunity,OPP-00373,Email,2021-04-09
ACT-0000249,Lead,LEAD-00100,Email,2021-04-10
ACT-0001316,Lead,LEAD-00528,Email,2021-04-10
ACT-0000262,Lead,LEAD-00105,Email,2021-04-11
ACT-0000250,Lead,LEAD-00100,Phone Call,2021-04-12
ACT-0001970,Opportunity,OPP-00022,Email,2021-04-12
ACT-0001995,Opportunity,OPP-00029,Email,2021-04-12
ACT-0002682,Opportunity,OPP-00201,Phone Call,2021-04-12
ACT-0001315,Lead,LEAD-00528,Phone Call,2021-04-13
ACT-0001575,Lead,LEAD-00634,Phone Call,2021-04-13
ACT-0002689,Opportunity,OPP-00202,Meeting,2021-04-13
ACT-0001607,Lead,LEAD-00645,Phone Call,2021-04-14
ACT-0002782,Opportunity,OPP-00226,Phone Call,2021-04-14
ACT-0002844,Opportunity,OPP-00239,Email,2021-04-15
ACT-0003386,Opportunity,OPP-00376,Phone Call,2021-04-15
ACT-0001634,Lead,LEAD-00654,Email,2021-04-16
ACT-0001996,Opportunity,OPP-00029,Phone Call,2021-04-16
ACT-0002290,Opportunity,OPP-00100,Task,2021-04-16
ACT-0001635,Lead,LEAD-00654,Email,2021-04-17
ACT-0001971,Opportunity,OPP-00022,Email,2021-04-18
ACT-0001421,Lead,LEAD-00567,Email,2021-04-19
ACT-0001577,Lead,LEAD-00635,Phone Call,2021-04-19
ACT-0001608,Lead,LEAD-00645,Meeting,2021-04-19
ACT-0001420,Lead,LEAD-00567,Email,2021-04-20
ACT-0003385,Opportunity,OPP-00376,Email,2021-04-20
ACT-0001578,Lead,LEAD-00635,Phone Call,2021-04-21
ACT-0002684,Opportunity,OPP-00201,Phone Call,2021-04-21
ACT-0001574,Lead,LEAD-00634,Email,2021-04-22
ACT-0001419,Lead,LEAD-00567,Meeting,2021-04-23
ACT-0002687,Opportunity,OPP-00202,Task,2021-04-23
ACT-0000269,Lead,LEAD-00107,Email,2021-04-24
ACT-0001249,Lead,LEAD-00503,Email,2021-04-24
ACT-0001998,Opportunity,OPP-00029,Task,2021-04-24
ACT-0002686,Opportunity,OPP-00202,Email,2021-04-24
ACT-0002688,Opportunity,OPP-00202,Email,2021-04-24
ACT-0000837,Lead,LEAD-00333,Email,2021-04-25
ACT-0000838,Lead,LEAD-00333,Phone Call,2021-04-25
ACT-0001576,Lead,LEAD-00634,Task,2021-04-25
ACT-0000268,Lead,LEAD-00107,Task,2021-04-26
ACT-0001293,Lead,LEAD-00519,Phone Call,2021-04-26
ACT-0000271,Lead,LEAD-00107,Phone Call,2021-04-27
ACT-0001968,Opportunity,OPP-00022,Email,2021-04-27
ACT-0001969,Opportunity,OPP-00022,Phone Call,2021-04-27
ACT-0003531,Opportunity,OPP-00411,Phone Call,2021-04-27
ACT-0000116,Lead,LEAD-00046,Email,2021-04-28
ACT-0000304,Lead,LEAD-00120,Phone Call,2021-04-28
ACT-0001312,Lead,LEAD-00527,Phone Call,2021-04-28
ACT-0002289,Opportunity,OPP-00100,Task,2021-04-28
ACT-0003532,Opportunity,OPP-00411,Phone Call,2021-04-28
ACT-0000302,Lead,LEAD-00120,Meeting,2021-04-29
ACT-0001311,Lead,LEAD-00527,Email,2021-04-30
ACT-0002869,Opportunity,OPP-00246,Phone Call,2021-04-30
ACT-0003497,Opportunity,OPP-00402,Task,2021-04-30
ACT-0000303,Lead,LEAD-00120,Meeting,2021-05-01
ACT-0001250,Lead,LEAD-00503,Meeting,2021-05-01
ACT-0001292,Lead,LEAD-00519,Phone Call,2021-05-01
ACT-0001314,Lead,LEAD-00527,Phone Call,2021-05-01
ACT-0000836,Lead,LEAD-00333,Email,2021-05-02
ACT-0001997,Opportunity,OPP-00029,Phone Call,2021-05-02
ACT-0002870,Opportunity,OPP-00246,Phone Call,2021-05-02
ACT-0000526,Lead,LEAD-00212,Email,2021-05-04
ACT-0000988,Lead,LEAD-00403,Email,2021-05-04
ACT-0003371,Opportunity,OPP-00373,Email,2021-05-04
ACT-0003372,Opportunity,OPP-00373,Phone Call,2021-05-04
ACT-0002292,Opportunity,OPP-00100,Phone Call,2021-05-06
ACT-0002685,Opportunity,OPP-00202,Email,2021-05-06
ACT-0002703,Opportunity,OPP-00206,Meeting,2021-05-06
ACT-0003533,Opportunity,OPP-00411,Task,2021-05-06
ACT-0000527,Lead,LEAD-00212,Email,2021-05-07
ACT-0003501,Opportunity,OPP-00404,Task,2021-05-07
ACT-0000270,Lead,LEAD-00107,Email,2021-05-08
ACT-0000525,Lead,LEAD-00212,Task,2021-05-08
ACT-0000301,Lead,LEAD-00120,Email,2021-05-09
ACT-0001417,Lead,LEAD-00566,Phone Call,2021-05-10
ACT-0001442,Lead,LEAD-00574,Phone Call,2021-05-10
ACT-0001728,Lead,LEAD-00690,Email,2021-05-11
ACT-0000991,Lead,LEAD-00403,Email,2021-05-12
ACT-0001294,Lead,LEAD-00519,Phone Call,2021-05-12
ACT-0001313,Lead,LEAD-00527,Email,2021-05-12
ACT-0003415,Opportunity,OPP-00383,Phone Call,2021-05-13
ACT-0000794,Lead,LEAD-00315,Meeting,2021-05-14
ACT-0000989,Lead,LEAD-00403,Phone Call,2021-05-14
ACT-0001443,Lead,LEAD-00574,Meeting,2021-05-14
ACT-0002362,Opportunity,OPP-00120,Task,2021-05-14
ACT-0002702,Opportunity,OPP-00206,Email,2021-05-14
ACT-0003336,Opportunity,OPP-00364,Phone Call,2021-05-14
ACT-0003505,Opportunity,OPP-00404,Email,2021-05-15
ACT-0003504,Opportunity,OPP-00404,Email,2021-05-17
ACT-0000795,Lead,LEAD-00315,Phone Call,2021-05-18
ACT-0000990,Lead,LEAD-00403,Email,2021-05-18
ACT-0002923,Opportunity,OPP-00259,Email,2021-05-18
ACT-0001469,Lead,LEAD-00583,Email,2021-05-19
ACT-0002363,Opportunity,OPP-00120,Meeting,2021-05-19
ACT-0003338,Opportunity,OPP-00364,Phone Call,2021-05-19
ACT-0001727,Lead,LEAD-00690,Email,2021-05-20
ACT-0002701,Opportunity,OPP-00206,Phone Call,2021-05-20
ACT-0000524,Lead,LEAD-00212,Email,2021-05-22
ACT-0001726,Lead,LEAD-00690,Email,2021-05-22
ACT-0002726,Opportunity,OPP-00212,Phone Call,2021-05-22
ACT-0003207,Opportunity,OPP-00327,Email,2021-05-22
ACT-0003605,Opportunity,OPP-00430,Task,2021-05-22
ACT-0000646,Lead,LEAD-00259,Email,2021-05-23
ACT-0003208,Opportunity,OPP-00327,Phone Call,2021-05-24
ACT-0003416,Opportunity,OPP-00383,Phone Call,2021-05-24
ACT-0003519,Opportunity,OPP-00408,Phone Call,2021-05-24
ACT-0003522,Opportunity,OPP-00408,Task,2021-05-24
ACT-0002291,Opportunity,OPP-00100,Task,2021-05-25
ACT-0003603,Opportunity,OPP-00430,Email,2021-05-25
ACT-0001237,Lead,LEAD-00499,Task,2021-05-26
ACT-0003337,Opportunity,OPP-00364,Task,2021-05-26
ACT-0002305,Opportunity,OPP-00105,Task,2021-05-27
ACT-0002673,Opportunity,OPP-00198,Email,2021-05-27
ACT-0002674,Opportunity,OPP-00198,Task,2021-05-27
ACT-0000793,Lead,LEAD-00315,Phone Call,2021-05-28
ACT-0000792,Lead,LEAD-00315,Meeting,2021-05-29
ACT-0001236,Lead,LEAD-00499,Phone Call,2021-05-29
ACT-0003520,Opportunity,OPP-00408,Meeting,2021-05-29
ACT-0003523,Opportunity,OPP-00408,Email,2021-05-29
ACT-0000407,Lead,LEAD-00165,Email,2021-05-30
ACT-0001551,Lead,LEAD-00622,Phone Call,2021-05-30
ACT-0001672,Lead,LEAD-00670,Phone Call,2021-05-30
ACT-0002763,Opportunity,OPP-00221,Task,2021-05-30
ACT-0002306,Opportunity,OPP-00105,Email,2021-05-31
ACT-0003340,Opportunity,OPP-00364,Email,2021-05-31
ACT-0000409,Lead,LEAD-00166,Meeting,2021-06-01
ACT-0002704,Opportunity,OPP-00206,Phone Call,2021-06-01
ACT-0003335,Opportunity,OPP-00364,Phone Call,2021-06-01
ACT-0001677,Lead,LEAD-00671,Email,2021-06-02
ACT-0002728,Opportunity,OPP-00212,Phone Call,2021-06-02
ACT-0001238,Lead,LEAD-00499,Phone Call,2021-06-03
ACT-0001544,Lead,LEAD-00618,Phone Call,2021-06-03
ACT-0001239,Lead,LEAD-00499,Phone Call,2021-06-04
ACT-0001674,Lead,LEAD-00670,Phone Call,2021-06-04
ACT-0003413,Opportunity,OPP-00383,Task,2021-06-04
ACT-0002764,Opportunity,OPP-00221,Email,2021-06-06
ACT-0002924,Opportunity,OPP-00259,Meeting,2021-06-06
ACT-0000405,Lead,LEAD-00165,Task,2021-06-07
ACT-0001673,Lead,LEAD-00670,Task,2021-06-07
ACT-0000406,Lead,LEAD-00165,Phone Call,2021-06-08
ACT-0000408,Lead,LEAD-00166,Task,2021-06-08
ACT-0002307,Opportunity,OPP-00105,Task,2021-06-08
ACT-0000674,Lead,LEAD-00269,Email,2021-06-09
ACT-0001869,Lead,LEAD-00748,Email,2021-06-09
ACT-0003206,Opportunity,OPP-00327,Email,2021-06-09
ACT-0003502,Opportunity,OPP-00404,Task,2021-06-09
ACT-0000672,Lead,LEAD-00269,Task,2021-06-10
ACT-0001870,Lead,LEAD-00748,Phone Call,2021-06-10
ACT-0003518,Opportunity,OPP-00408,Phone Call,2021-06-10
ACT-0003602,Opportunity,OPP-00430,Email,2021-06-10
ACT-0002731,Opportunity,OPP-00212,Email,2021-06-11
ACT-0003521,Opportunity,OPP-00408,Phone Call,2021-06-11
ACT-0001323,Lead,LEAD-00531,Email,2021-06-12
ACT-0001675,Lead,LEAD-00671,Phone Call,2021-06-12
ACT-0003417,Opportunity,OPP-00383,Email,2021-06-12
ACT-0002311,Opportunity,OPP-00107,Email,2021-06-13
ACT-0002762,Opportunity,OPP-00221,Email,2021-06-13
ACT-0003370,Opportunity,OPP-00372,Task,2021-06-13
ACT-0002057,Opportunity,OPP-00046,Phone Call,2021-06-14
ACT-0003339,Opportunity,OPP-00364,Meeting,2021-06-14
ACT-0000404,Lead,LEAD-00164,Phone Call,2021-06-15
ACT-0001339,Lead,LEAD-00538,Meeting,2021-06-15
ACT-0001552,Lead,LEAD-00622,Email,2021-06-15
ACT-0002541,Opportunity,OPP-00166,Meeting,2021-06-15
ACT-0003439,Opportunity,OPP-00388,Email,2021-06-15
ACT-0000403,Lead,LEAD-00164,Phone Call,2021-06-16
ACT-0000673,Lead,LEAD-00269,Meeting,2021-06-16
ACT-0001240,Lead,LEAD-00500,Task,2021-06-16
ACT-0001322,Lead,LEAD-00531,Phone Call,2021-06-16
ACT-0002543,Opportunity,OPP-00166,Phone Call,2021-06-16
ACT-0003369,Opportunity,OPP-00372,Email,2021-06-16
ACT-0003414,Opportunity,OPP-00383,Phone Call,2021-06-16
ACT-0000107,Lead,LEAD-00043,Phone Call,2021-06-17
ACT-0001676,Lead,LEAD-00671,Phone Call,2021-06-17
ACT-0001241,Lead,LEAD-00500,Email,2021-06-18
ACT-0001324,Lead,LEAD-00531,Email,2021-06-18
ACT-0002544,Opportunity,OPP-00166,Email,2021-06-18
