product_id,product_name,category,seasonality_profile,mega_sale_sensitivity,price_usd,margin_pct
PRD-0093,Digital Item 008,Digital Goods,flat_growth,3.6,35.6,61.3
PRD-0094,Digital Item 009,Digital Goods,flat_growth,3.6,31.33,57.0
PRD-0095,Digital Item 010,Digital Goods,flat_growth,3.6,32.57,53.3
PRD-0096,Digital Item 011,Digital Goods,flat_growth,3.6,25.53,40.6
PRD-0097,Digital Item 012,Digital Goods,flat_growth,3.6,25.18,65.4
PRD-0098,Digital Item 013,Digital Goods,flat_growth,3.6,30.06,65.0
PRD-0099,Digital Item 014,Digital Goods,flat_growth,3.6,23.27,67.6
PRD-0100,Digital Item 015,Digital Goods,flat_growth,3.6,10.71,67.4
PRD-0101,Digital Item 016,Digital Goods,flat_growth,3.6,19.23,41.5
PRD-0102,Digital Item 017,Digital Goods,flat_growth,3.6,27.27,53.5
PRD-0103,Grocery Item 001,Grocery & Gourmet,yalda_bump,1.2,25.76,21.8
PRD-0104,Grocery Item 002,Grocery & Gourmet,yalda_bump,1.2,14.26,19.3
PRD-0105,Grocery Item 003,Grocery & Gourmet,yalda_bump,1.2,25.18,18.3
PRD-0106,Grocery Item 004,Grocery & Gourmet,yalda_bump,1.2,28.58,14.0
PRD-0107,Grocery Item 005,Grocery & Gourmet,yalda_bump,1.2,29.08,21.9
PRD-0108,Grocery Item 006,Grocery & Gourmet,yalda_bump,1.2,15.58,12.7
PRD-0109,Grocery Item 007,Grocery & Gourmet,yalda_bump,1.2,11.48,17.6
PRD-0110,Grocery Item 008,Grocery & Gourmet,yalda_bump,1.2,47.39,13.1
PRD-0111,Grocery Item 009,Grocery & Gourmet,yalda_bump,1.2,48.04,18.4
PRD-0112,Grocery Item 010,Grocery & Gourmet,yalda_bump,1.2,13.56,17.1
PRD-0113,Grocery Item 011,Grocery & Gourmet,yalda_bump,1.2,17.01,20.3
PRD-0114,Grocery Item 012,Grocery & Gourmet,yalda_bump,1.2,30.24,15.7
PRD-0115,Grocery Item 013,Grocery & Gourmet,yalda_bump,1.2,18.91,22.0
PRD-0116,Grocery Item 014,Grocery & Gourmet,yalda_bump,1.2,39.14,17.3
PRD-0117,Grocery Item 015,Grocery & Gourmet,yalda_bump,1.2,24.86,20.6
PRD-0118,Grocery Item 016,Grocery & Gourmet,yalda_bump,1.2,47.24,13.5
PRD-0119,Grocery Item 017,Grocery & Gourmet,yalda_bump,1.2,15.1,16.5
PRD-0120,Home Item 001,Home & Kitchen,nowruz_bump,2.1,72.26,19.3
PRD-0121,Home Item 002,Home & Kitchen,nowruz_bump,2.1,27.3,21.6
PRD-0122,Home Item 003,Home & Kitchen,nowruz_bump,2.1,60.21,29.7
PRD-0123,Home Item 004,Home & Kitchen,nowruz_bump,2.1,82.38,18.7
PRD-0124,Home Item 005,Home & Kitchen,nowruz_bump,2.1,26.46,25.3
PRD-0125,Home Item 006,Home & Kitchen,nowruz_bump,2.1,108.61,32.5
PRD-0126,Home Item 007,Home & Kitchen,nowruz_bump,2.1,58.15,32.0
PRD-0127,Home Item 008,Home & Kitchen,nowruz_bump,2.1,113.98,24.5
PRD-0128,Home Item 009,Home & Kitchen,nowruz_bump,2.1,95.86,23.9
PRD-0129,Home Item 010,Home & Kitchen,nowruz_bump,2.1,37.2,27.2
PRD-0130,Home Item 011,Home & Kitchen,nowruz_bump,2.1,30.56,28.5
PRD-0131,Home Item 012,Home & Kitchen,nowruz_bump,2.1,102.11,32.5
PRD-0132,Home Item 013,Home & Kitchen,nowruz_bump,2.1,66.35,20.0
PRD-0133,Home Item 014,Home & Kitchen,nowruz_bump,2.1,111.35,31.8
PRD-0134,Home Item 015,Home & Kitchen,nowruz_bump,2.1,117.79,27.5
PRD-0135,Home Item 016,Home & Kitchen,nowruz_bump,2.1,88.67,24.0
PRD-0136,Home Item 017,Home & Kitchen,nowruz_bump,2.1,40.13,22.8
PRD-0137,Sports Item 001,Sports & Outdoor,summer_bump,1.7,110.32,21.5
PRD-0138,Sports Item 002,Sports & Outdoor,summer_bump,1.7,106.92,24.0
PRD-0139,Sports Item 003,Sports & Outdoor,summer_bump,1.7,78.53,30.7
PRD-0140,Sports Item 004,Sports & Outdoor,summer_bump,1.7,45.43,23.8
PRD-0141,Sports Item 005,Sports & Outdoor,summer_bump,1.7,44.69,30.3
PRD-0142,Sports Item 006,Sports & Outdoor,summer_bump,1.7,83.17,21.6
PRD-0143,Sports Item 007,Sports & Outdoor,summer_bump,1.7,45.69,25.4
PRD-0144,Sports Item 008,Sports & Outdoor,summer_bump,1.7,72.68,18.6
PRD-0145,Sports Item 009,Sports & Outdoor,summer_bump,1.7,29.79,22.4
PRD-0146,Sports Item 010,Sports & Outdoor,summer_bump,1.7,94.23,24.3
PRD-0147,Sports Item 011,Sports & Outdoor,summer_bump,1.7,131.3,29.9
PRD-0148,Sports Item 012,Sports & Outdoor,summer_bump,1.7,135.55,28.3
PRD-0149,Sports Item 013,Sports & Outdoor,summer_bump,1.7,81.88,24.3
PRD-0150,Sports Item 014,Sports & Outdoor,summer_bump,1.7,72.49,22.6
PRD-0151,Sports Item 015,Sports & Outdoor,summer_bump,1.7,30.86,28.3
PRD-0152,Sports Item 016,Sports & Outdoor,summer_bump,1.7,54.78,17.2
PRD-0153,Sports Item 017,Sports & Outdoor,summer_bump,1.7,80.58,27.1
